parameter,Family,Model,R2(test),MAE(test),RMSE(test),R2(train),MAE(train),RMSE(train)
homo_min,Linear/Regularized,Linear Regression,0.29425797600981074,0.8073370953838359,1.0030192898558514,0.30180506720704825,0.7969643013862999,0.9944722716979867
homo_min,Linear/Regularized,RidgeCV,0.2943000288104254,0.8074687120185831,1.0029894061326696,0.301802726187984,0.7970889355292513,0.9944739389090234
homo_min,Linear/Regularized,LassoCV,0.2942613234504863,0.8073512390048663,1.0030169111172782,0.3018050381166112,0.796976507391154,0.9944722924154334
homo_min,Linear/Regularized,ElasticNetCV,0.29427833383565305,0.8073999523476687,1.0030048232104052,0.3018045298176367,0.797023465510207,0.9944726544125703
homo_min,Linear/Regularized,BayesianRidge,0.2943759226523598,0.8077767919138149,1.0029354719047743,0.30178066533158676,0.7973728032071362,0.9944896499224304
homo_min,Kernel/Neighbors,LinearSVR,0.2668487878533359,0.7936953422544847,1.0223110958517316,0.27129295489691607,0.7830554003248771,1.0159698413965046
homo_min,Kernel/Neighbors,SVR_RBF,0.9623791197916981,0.1731069471784257,0.23157985211885435,0.9651365808272143,0.16632065465522472,0.22222316102938014
homo_min,Kernel/Neighbors,SVR_Poly3,0.5431182426605001,0.6301917031284321,0.8070272603032242,0.5037723095715361,0.6324266089785622,0.8383875678505845
homo_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9684101053484031,0.15996913090897744,0.21220733183319682,0.9718524589038849,0.1515858764949615,0.19967540000010822
homo_min,Kernel/Neighbors,"kNN(k=5,dist)",0.9508564876843258,0.19458837385217193,0.26467894342810266,1.0,0.0,0.0
homo_min,Tree Ensembles,RandomForest,0.9931139267421951,0.06807373512558063,0.09907683288636657,0.9990150978333953,0.025283517442825136,0.03735088345464378
homo_min,Tree Ensembles,GradientBoosting,0.9715695590807404,0.15117077973139048,0.20131590770314806,0.9749921773660976,0.1427879387321184,0.1882098169910821
homo_min,Tree Ensembles,DecisionTree,0.9889337699815539,0.08613273083436895,0.12559898870505498,1.0,0.0,0.0
homo_min,Tree Ensembles,ExtraTrees,0.993819366967804,0.06301143887693475,0.09386480350952892,1.0,2.1007637985000825e-14,2.5720359489990193e-14
homo_min,Tree Ensembles,HistGradientBoosting,0.9914511894476199,0.07826573329399175,0.11039239166936436,0.9938349948967836,0.0661642967890765,0.09344822409206734
homo_min,Neural,MLP(100),0.9692562627975786,0.15776670201983095,0.20934597995695,0.971363452200892,0.15218801725422854,0.20140240995784783
homo_min,Gaussian Process,GPR_C*(RBF+White)_fixed,0.9762140194144548,0.13899843886548663,0.18413944340464405,0.9837648889350752,0.11311817904349235,0.15164635086985917
lumo_min,Linear/Regularized,Linear Regression,0.29919507950047164,0.8076427507492845,0.9995047612528449,0.3039875014235123,0.7985422346185965,0.9929167827394413
lumo_min,Linear/Regularized,RidgeCV,0.29924813336611855,0.8077520797205386,0.9994669271898936,0.3039850605824945,0.7986608593669099,0.9929185237641288
lumo_min,Linear/Regularized,LassoCV,0.2991953503461522,0.807643467799823,0.9995045681095283,0.30398750131083807,0.7985429281786565,0.9929167828198108
lumo_min,Linear/Regularized,ElasticNetCV,0.29920994623566355,0.8076725825194729,0.9994941595497314,0.30398731651585353,0.7985743433129141,0.9929169146321198
lumo_min,Linear/Regularized,BayesianRidge,0.29934275468489013,0.8080028206023336,0.9993994467621747,0.3039639942416781,0.7989295655555254,0.9929335500233132
lumo_min,Kernel/Neighbors,LinearSVR,0.2685037360886724,0.794375945832082,1.0211566083706882,0.27164200040837017,0.7841055676981663,1.0157264910744848
