group,n,MAE,RMSE,R2
C1,841,0.2126948201579524,0.2573608419642119,0.939471019274186
C12,679,0.14540768599257015,0.18776709146287668,0.9835331365919594
C13,406,0.19938522521782095,0.2584013643960299,0.9654598052046759
C14,418,0.19802349650508402,0.25024482327176606,0.9470495267065697
C17,807,0.09515505002194334,0.1261920679022703,0.9844742115326937
C18,604,0.1832414946531834,0.22588192473446078,0.9783047054714964
C19,683,0.17530013706940342,0.23185583111445032,0.9696990320799893
C2,742,0.08342033057862526,0.10577026585428362,0.9894986945342646
C3,1160,0.15535926453367244,0.20398398644567,0.9479701193629222
C4,549,0.5582281148905648,0.625276185481711,0.6178799108944609
