group,n,MAE,RMSE,R2
C1,841,0.21557183515188816,0.26576351723885644,0.9354540274575522
C12,679,0.16238063285862878,0.2089586043240592,0.9796064682814692
C13,406,0.1688022117702015,0.22855199760473638,0.9729787633770133
C14,418,0.20334962973572146,0.25894708462854654,0.9433027892874932
C17,807,0.09886415506903357,0.14302639293539351,0.9800555565164808
C18,604,0.1729477430109425,0.22377092459242456,0.9787083213127656
C19,683,0.15328436648129523,0.2111715012516221,0.9748642949893996
C2,742,0.0850066968921983,0.11013660937118325,0.9886137817446635
C3,1160,0.14550797846455427,0.19349904203200624,0.9531814112898517
C4,549,0.5661645809076065,0.6404874999289929,0.5990618240008269
