descriptor,model,group,fold_idx,n_train,n_test,r2_fold,mae_fold,rmse_fold,best_score_inner,best_params_inner
dg_ch3,DecisionTree,C1,1,6048,841,0.9062915721414945,0.26207671420898326,0.32022122476560694,0.9247907581754031,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
dg_ch3,DecisionTree,C12,2,6210,679,0.9737529147090755,0.16785048061335067,0.2370579796537361,0.9121124623537835,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2}"
dg_ch3,DecisionTree,C13,3,6483,406,0.959079407345444,0.19702227820943166,0.2812570185287622,0.9085616490373314,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2}"
dg_ch3,DecisionTree,C14,4,6471,418,0.8820646255824938,0.297704376334198,0.3734669922509827,0.923141352348129,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2}"
dg_ch3,DecisionTree,C17,5,6082,807,0.9845530420326029,0.0953348937704655,0.12587129697414082,0.9093739260815878,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2}"
dg_ch3,DecisionTree,C18,6,6285,604,0.9721382687336679,0.19256634054792365,0.2559780663113292,0.9177453218116398,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
dg_ch3,DecisionTree,C19,7,6206,683,0.952790453814616,0.2075893897418746,0.28940410352862994,0.9177358725689766,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2}"
dg_ch3,DecisionTree,C2,8,6147,742,0.9837540620624262,0.1010755727005359,0.1315571162369241,0.91451404700661,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
dg_ch3,DecisionTree,C3,9,5729,1160,0.9071525818385113,0.21045774978952853,0.2724925141688077,0.9120681854504751,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
dg_ch3,DecisionTree,C4,10,6340,549,0.5626308423104454,0.5891113553595195,0.668953653915351,0.9464036111078657,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
nbo_boltz,DecisionTree,C1,1,6048,841,0.9215605365577018,0.24018009835564733,0.2929733354656046,0.9282376555948852,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
nbo_boltz,DecisionTree,C12,2,6210,679,0.9703049803132023,0.18610261641695033,0.25214818493781327,0.9178750644119784,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2}"
nbo_boltz,DecisionTree,C13,3,6483,406,0.9608641147790626,0.18928105712767526,0.27505528372777716,0.9212083748866503,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2}"
nbo_boltz,DecisionTree,C14,4,6471,418,0.93316886830884,0.2235757575404385,0.28113802309461816,0.9237763450684817,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2}"
nbo_boltz,DecisionTree,C17,5,6082,807,0.9806043399794809,0.1070524741132982,0.14104493864378195,0.8340572868470746,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
nbo_boltz,DecisionTree,C18,6,6285,604,0.9807716972790654,0.16181670139576199,0.21265185717303484,0.9178717710754452,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2}"
nbo_boltz,DecisionTree,C19,7,6206,683,0.9670721489983792,0.16762438379423814,0.24169711466063062,0.9187188060994445,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2}"
nbo_boltz,DecisionTree,C2,8,6147,742,0.9873460172138241,0.08930929659494534,0.11610624235189862,0.914354463507291,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2}"
nbo_boltz,DecisionTree,C3,9,5729,1160,0.9165806768297582,0.19672839819077498,0.25828726350569603,0.9194680586589857,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
nbo_boltz,DecisionTree,C4,10,6340,549,0.5879037253532677,0.5673997152089896,0.6493387151990238,0.9504099323468862,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2}"
dg_ch3,ExtraTrees,C1,1,6048,841,0.9209301488252308,0.24547952807217951,0.2941482365165768,0.9444438528009368,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 600}"
dg_ch3,ExtraTrees,C12,2,6210,679,0.9885655670370955,0.1208945849264255,0.15646649492646078,0.929133194951055,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
dg_ch3,ExtraTrees,C13,3,6483,406,0.9789650734063499,0.13834874095709013,0.20165217545206898,0.9258065600085136,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
dg_ch3,ExtraTrees,C14,4,6471,418,0.9301546895623669,0.23728530690967378,0.2874079684981229,0.935802868965777,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
dg_ch3,ExtraTrees,C17,5,6082,807,0.9817033043422596,0.10573252574225596,0.13699084889384153,0.9374551884659237,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 600}"
dg_ch3,ExtraTrees,C18,6,6285,604,0.9795822347129731,0.16152919187162676,0.2191304890852041,0.933652551696116,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 600}"
dg_ch3,ExtraTrees,C19,7,6206,683,0.9758831065983218,0.149564341912934,0.20684758456179225,0.9316137414953645,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 600}"
dg_ch3,ExtraTrees,C2,8,6147,742,0.9820048795397833,0.10578483367066478,0.13845840656283773,0.9380695151372302,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
dg_ch3,ExtraTrees,C3,9,5729,1160,0.9475872290753848,0.14914512767299207,0.20473317441974165,0.9285364138182844,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 600}"
dg_ch3,ExtraTrees,C4,10,6340,549,0.5666894492237271,0.5830427363180409,0.6658426116300095,0.9603648971570523,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C1,1,6048,841,0.8449318818018897,0.36657490957796335,0.4119286956161292,0.9323926587824845,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C12,2,6210,679,0.9903195190564023,0.11047102236349443,0.14396685077038174,0.9073729001234916,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C13,3,6483,406,0.9753090182639399,0.1513556905380145,0.2184749206675271,0.9112480796605125,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 600}"
nbo_boltz,ExtraTrees,C14,4,6471,418,0.8600560955392929,0.3324674906835515,0.4068245683187013,0.9203437457332615,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 600}"
nbo_boltz,ExtraTrees,C17,5,6082,807,0.9817861444676917,0.10278782561513473,0.13668037716535536,0.9043710607385782,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
