descriptor,model,r2_logo,mae_logo,rmse_logo,best_params_mode
nbo_boltz,DecisionTree,0.9405399798199027,0.2036941337085743,0.29047052461211065,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2}"
dg_ch3,DecisionTree,0.9315597369152736,0.22011736800644255,0.31163439034038176,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
dg_ch3,ExtraTrees,0.9468011331012067,0.18878268776374998,0.27475191876826754,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 600}"
nbo_boltz,ExtraTrees,0.9333271672571362,0.22046398485421914,0.3075841814848634,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
nbo_boltz,GradientBoosting,0.9459000481884201,0.2025219101605123,0.2770690286088738,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,0.9400727576455301,0.21632214308801875,0.2916095143879782,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,HistGradientBoosting,0.9491944784028364,0.1921012820644112,0.2685004390389677,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,0.9450067053750477,0.20008195365947734,0.27934725773906394,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
nbo_boltz,KernelRidge_RBF,0.9354213794026054,0.23277445965399063,0.3027149885798879,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,0.9121257024683243,0.25066602018783357,0.35311850415172924,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,MLP(100),0.9463514938141574,0.2081022698790197,0.27591058361908133,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
nbo_boltz,MLP(100),0.9115638831136115,0.2668585191125068,0.35424552723145913,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
nbo_boltz,RandomForest,0.9474734231392407,0.18964577142776137,0.2730103378493934,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,0.942006875957193,0.19991175639044353,0.2868651528363236,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
nbo_boltz,SVR_RBF,0.9315795371664044,0.23891575450997324,0.31158930806524093,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,0.9059924810692759,0.2556827420950075,0.36523369617055773,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,"kNN(k=5,dist)",0.9285191269942658,0.22277067590139457,0.31848168839242674,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",0.9191983986830363,0.23624270309265893,0.3386098027609748,"{""model__p"": 1}"
