Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
hirsh_qa_boltz,Linear/Regularized,Linear Regression,C1,0.3454814866879746,0.7744395589721254,0.9787924176605809,-0.3104580771510279,1.039149111958812,1.1974912654957452,6048,841
hirsh_qa_boltz,Linear/Regularized,RidgeCV,C1,0.3454797283797931,0.7745577511682533,0.9787937323808868,-0.310253511909806,1.0390326465148223,1.197397796404862,6048,841
hirsh_qa_boltz,Linear/Regularized,LassoCV,C1,0.34111297583187605,0.7807262450643293,0.9820534058756003,-0.29601364269995,1.0314464257304077,1.1908733458216358,6048,841
hirsh_qa_boltz,Linear/Regularized,ElasticNetCV,C1,0.34124674839416025,0.78101061240768,0.981953708610134,-0.29851636108387436,1.0323070481415608,1.1920226327736447,6048,841
hirsh_qa_boltz,Linear/Regularized,BayesianRidge,C1,0.34546318864893266,0.7748258496382552,0.9788060993642568,-0.30980975621865836,1.0387710305146975,1.1971950123333084,6048,841
hirsh_qa_boltz,Kernel/Neighbors,LinearSVR,C1,0.32009670935123213,0.7618031762001748,0.9975925571800685,-0.2305462886154066,1.0041498515652634,1.1604054658969085,6048,841
hirsh_qa_boltz,Kernel/Neighbors,SVR_RBF,C1,0.939199375810267,0.19515306272729774,0.2983208773991358,0.007210256436516627,0.9377754458034109,1.04229205971566,6048,841
hirsh_qa_boltz,Kernel/Neighbors,SVR_Poly3,C1,0.5142422477808652,0.6454468352632295,0.8432172818294533,-0.6104075387438233,1.0515871891604633,1.3274821370813654,6048,841
hirsh_qa_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C1,0.9502760071177905,0.19125592493341048,0.2697817866918489,-0.0766059087334281,0.9804526773459195,1.0853983770634976,6048,841
hirsh_qa_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.1257166096255351,0.8194468176758652,0.9781082053728825,6048,841
hirsh_qa_boltz,Tree Ensembles,RandomForest,C1,0.9990752519788483,0.024384942349158802,0.036790978119737756,0.5366431921201053,0.6181880016998212,0.7120632341642437,6048,841
hirsh_qa_boltz,Tree Ensembles,GradientBoosting,C1,0.9722004777788195,0.15312357853321137,0.20171969123209338,0.42546961009199,0.6865204147699299,0.7928979430919172,6048,841
hirsh_qa_boltz,Tree Ensembles,DecisionTree,C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.1882278264346553,0.795275970840546,0.9424924251831801,6048,841
hirsh_qa_boltz,Tree Ensembles,ExtraTrees,C1,0.9999998726799524,7.850315887568704e-06,0.0004316960002487159,0.2673548931359362,0.7687946236955541,0.8953804653152087,6048,841
hirsh_qa_boltz,Tree Ensembles,HistGradientBoosting,C1,0.9939293776650193,0.06654878668861512,0.09426408069721337,0.2231944110189399,0.7801697915293994,0.9219703595812662,6048,841
hirsh_qa_boltz,Neural,MLP(100),C1,0.9703771791789423,0.15193084098783458,0.20822977727007275,0.09808458306536383,0.9044030253593349,0.9934446920104548,6048,841
hirsh_qa_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C1,0.9828139943186757,0.11585310682752276,0.15860508399424855,-0.6331664269842094,1.0360974664647622,1.336829467686268,6048,841
hirsh_qa_boltz,Linear/Regularized,Linear Regression,C12,0.2433960582048189,0.7946970987841653,0.9990332142854647,0.43738347940725175,0.81842828429625,1.0975397995405685,6210,679
hirsh_qa_boltz,Linear/Regularized,RidgeCV,C12,0.24339442312581772,0.7948116204245809,0.9990342937784843,0.43734684301647053,0.8185605485148689,1.097575533687139,6210,679
hirsh_qa_boltz,Linear/Regularized,LassoCV,C12,0.2298526694164108,0.8056599750064153,1.007935019809573,0.3585715889155323,0.859045476597541,1.171893468460196,6210,679
hirsh_qa_boltz,Linear/Regularized,ElasticNetCV,C12,0.2302849249971034,0.8055012099443478,1.0076521215440446,0.35964014671831,0.8585190389682474,1.1709169309004404,6210,679
hirsh_qa_boltz,Linear/Regularized,BayesianRidge,C12,0.2433704355884606,0.7951610368457973,0.9990501304199498,0.43722133383161954,0.8189603853775532,1.0976979431391332,6210,679
