Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
hirsh_qcm5a_min,Linear/Regularized,Linear Regression,C1,0.3364953691145435,0.7722483772298543,0.9854886071171726,-0.3025820333198923,1.0281847253543297,1.1938872938129759,6048,841
hirsh_qcm5a_min,Linear/Regularized,RidgeCV,C1,0.3364936542157916,0.7723711680251403,0.9854898806667544,-0.3024166126455321,1.02808140981783,1.193811482882552,6048,841
hirsh_qcm5a_min,Linear/Regularized,LassoCV,C1,0.3251892471678365,0.7798000334219327,0.9938495053200442,-0.22843246594990485,1.0033264853605315,1.159408369853974,6048,841
hirsh_qcm5a_min,Linear/Regularized,ElasticNetCV,C1,0.3255467004962541,0.7797165822330787,0.9935862449392531,-0.22997174502339046,1.0037222121725635,1.1601345368916003,6048,841
hirsh_qcm5a_min,Linear/Regularized,BayesianRidge,C1,0.3364759289681649,0.7726697749908944,0.9855030440190103,-0.30203796151323825,1.0278346957779332,1.1936379320673425,6048,841
hirsh_qcm5a_min,Kernel/Neighbors,LinearSVR,C1,0.31390066266565797,0.761877990806311,1.0021278429970044,-0.22024759012371664,0.9993615332135832,1.1555394256186011,6048,841
hirsh_qcm5a_min,Kernel/Neighbors,SVR_RBF,C1,0.9186069156464359,0.24672922547047982,0.34516232191992247,0.8793430105068465,0.3236051668303205,0.363359928052568,6048,841
hirsh_qcm5a_min,Kernel/Neighbors,SVR_Poly3,C1,0.492814310077611,0.6679146165795272,0.8616147489812728,0.14299498672779642,0.7672640410377178,0.9683948464682469,6048,841
hirsh_qcm5a_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C1,0.9365714801765606,0.22915753608485,0.3046996231779956,0.8157625559444095,0.41366211053741264,0.44900351239617387,6048,841
hirsh_qcm5a_min,Kernel/Neighbors,"kNN(k=5,dist)",C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.7975126905349871,0.3843812718857247,0.4707167941204756,6048,841
