Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
hirsh_qcm5h_boltz,Linear/Regularized,Linear Regression,C1,0.3573141407156373,0.771653438326687,0.9699045595552224,-0.3085344204180793,1.0356606039739007,1.1966120278604593,6048,841
hirsh_qcm5h_boltz,Linear/Regularized,RidgeCV,C1,0.35731216531128984,0.7717743400225825,0.9699060501374279,-0.3083162157254331,1.0355312857036763,1.1965122531652777,6048,841
hirsh_qcm5h_boltz,Linear/Regularized,LassoCV,C1,0.3521596393708193,0.7794475765103384,0.9737862306886725,-0.29650397325711864,1.0291307288110079,1.1910986005383009,6048,841
hirsh_qcm5h_boltz,Linear/Regularized,ElasticNetCV,C1,0.352302969030594,0.7797298828067636,0.9736785034009753,-0.29859702227377505,1.029804717946708,1.1920596552069833,6048,841
hirsh_qcm5h_boltz,Linear/Regularized,BayesianRidge,C1,0.35729830377710414,0.7719999090178503,0.9699165095802971,-0.307926595979237,1.035294277815262,1.1963340777717049,6048,841
hirsh_qcm5h_boltz,Kernel/Neighbors,LinearSVR,C1,0.33111762476796036,0.7580756453689513,0.9894742691844098,-0.23602355263777275,1.0066621315505153,1.1629851291992774,6048,841
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_RBF,C1,0.954189128451822,0.17740256507979113,0.258948801849267,0.9145109666031247,0.2599618101309489,0.3058552867098055,6048,841
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_Poly3,C1,0.5281899486011662,0.6169024856908857,0.831023343201934,-0.16416464898831373,0.8653041048218071,1.1286726258113464,6048,841
hirsh_qcm5h_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C1,0.9629148387789025,0.1715040040761893,0.23298594052737212,0.9222144857190223,0.24350306492412477,0.2917495212511098,6048,841
hirsh_qcm5h_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.8604684091983715,0.30379737505514304,0.39074826755734854,6048,841
hirsh_qcm5h_boltz,Tree Ensembles,RandomForest,C1,0.9991174867881412,0.023952381455310423,0.03594100663509741,0.9312104104319143,0.22348792773283552,0.2743608549265735,6048,841
hirsh_qcm5h_boltz,Tree Ensembles,GradientBoosting,C1,0.9753865702448961,0.14205140153609314,0.18980851703247967,0.9035507947948432,0.27763001682372573,0.32487037888746273,6048,841
hirsh_qcm5h_boltz,Tree Ensembles,DecisionTree,C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.9110207995192078,0.24939536800229906,0.3120362413210605,6048,841
hirsh_qcm5h_boltz,Tree Ensembles,ExtraTrees,C1,0.9999998726799524,7.850315887568704e-06,0.0004316960002487159,0.9385475654645191,0.2137715221894535,0.25931660955550934,6048,841
hirsh_qcm5h_boltz,Tree Ensembles,HistGradientBoosting,C1,0.9940377509124498,0.06501825075207968,0.09341888654446007,0.9393916424232069,0.21198687016662457,0.25752953636426607,6048,841
hirsh_qcm5h_boltz,Neural,MLP(100),C1,0.9649295525431529,0.16972058075598784,0.22656889274811606,0.9520896359061186,0.18871401615697506,0.22896838662865768,6048,841
hirsh_qcm5h_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C1,0.9792320717413405,0.129766419988924,0.17435171200840116,0.9639648598709687,0.1510940639544877,0.19857469125129937,6048,841
hirsh_qcm5h_boltz,Linear/Regularized,Linear Regression,C12,0.25910039342691094,0.7943125268437156,0.9886107065252888,0.42828153573441663,0.8194633549121021,1.1063821152130202,6210,679
hirsh_qcm5h_boltz,Linear/Regularized,RidgeCV,C12,0.2590985483935526,0.7944500154267015,0.9886119374738412,0.42827280491508524,0.8195897233996747,1.1063905630646158,6210,679
hirsh_qcm5h_boltz,Linear/Regularized,LassoCV,C12,0.25266762706079626,0.8043912631172488,0.9928931743233502,0.4201782736789882,0.8319128669718918,1.1141951914468153,6210,679
hirsh_qcm5h_boltz,Linear/Regularized,ElasticNetCV,C12,0.2518054583285062,0.8040279001788885,0.9934657406453449,0.40873767832609,0.8373247270218648,1.1251337176981768,6210,679
hirsh_qcm5h_boltz,Linear/Regularized,BayesianRidge,C12,0.2590788388700279,0.7947925274958709,0.9886250869558756,0.428238625077595,0.819899117638549,1.1064236345056733,6210,679
hirsh_qcm5h_boltz,Kernel/Neighbors,LinearSVR,C12,0.22274300824315585,0.7787711054184778,1.0125767380731745,0.29293932194277317,0.8625606149953827,1.2303888312647098,6210,679
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_RBF,C12,0.9512139360083296,0.17570576334417579,0.25368425765703034,0.9441279638970329,0.28516232757783544,0.3458687200130872,6210,679
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_Poly3,C12,0.4734500304876357,0.6222364334834404,0.8334228884541872,0.7008755725305997,0.6663224387982953,0.800276340815173,6210,679
hirsh_qcm5h_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C12,0.961315753055542,0.1647659811822823,0.22589816385971093,0.9439588428123148,0.2872431409395201,0.3463917857528846,6210,679
hirsh_qcm5h_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C12,0.9999998624105999,7.64552501777552e-06,0.00042602797318488884,0.8939348256323792,0.3224899207137348,0.47654118743258567,6210,679
hirsh_qcm5h_boltz,Tree Ensembles,RandomForest,C12,0.9990486819936518,0.023693414963876773,0.035424888008274515,0.9834922137533564,0.14694681866661266,0.18800026259379707,6210,679
hirsh_qcm5h_boltz,Tree Ensembles,GradientBoosting,C12,0.9735155915264215,0.13880226766264095,0.18691354145371555,0.9607890605519954,0.2298443252681376,0.2897461415479437,6210,679
hirsh_qcm5h_boltz,Tree Ensembles,DecisionTree,C12,0.9999998624105999,7.64552501777552e-06,0.00042602797318488884,0.9686137040331457,0.18462078818238747,0.25922929000926825,6210,679
hirsh_qcm5h_boltz,Tree Ensembles,ExtraTrees,C12,0.9999998624105999,7.645525038997924e-06,0.00042602797318488884,0.9752380275115686,0.18867575042921822,0.23025372024383306,6210,679
hirsh_qcm5h_boltz,Tree Ensembles,HistGradientBoosting,C12,0.9933516734332754,0.06584606581899868,0.09364870999468483,0.9857381799750576,0.1384728252094608,0.17474369443214782,6210,679
hirsh_qcm5h_boltz,Neural,MLP(100),C12,0.9615319431378728,0.1664160996165209,0.22526605427830473,0.9691619547194256,0.21859708897071575,0.2569552280968766,6210,679
hirsh_qcm5h_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C12,0.9789553818427651,0.12357154410159128,0.1666157884035061,0.9442969596037567,0.26799169275602086,0.34534525068581334,6210,679
hirsh_qcm5h_boltz,Linear/Regularized,Linear Regression,C13,0.28015653774747473,0.7986083751422643,0.9967026160248823,0.4536499980619366,0.7739470377937318,1.0277036185517756,6483,406
hirsh_qcm5h_boltz,Linear/Regularized,RidgeCV,C13,0.28015477633645447,0.7987314531799187,0.9967038354579881,0.4538160876226184,0.7738921650423023,1.0275473965179864,6483,406
hirsh_qcm5h_boltz,Linear/Regularized,LassoCV,C13,0.2703362723928676,0.8076240776974086,1.0034782056738,0.4284247353051728,0.7857329503198631,1.0511607213746612,6483,406
hirsh_qcm5h_boltz,Linear/Regularized,ElasticNetCV,C13,0.2725099558129197,0.8081598512172926,1.0019823996110588,0.4397611488684937,0.7816292181317607,1.0406843475266974,6483,406
hirsh_qcm5h_boltz,Linear/Regularized,BayesianRidge,C13,0.28013877123059594,0.7990070035597491,0.9967149157994292,0.45416614260867605,0.7737881506288707,1.0272180608002428,6483,406
hirsh_qcm5h_boltz,Kernel/Neighbors,LinearSVR,C13,0.24649826406620612,0.7835747275123955,1.0197382137844546,0.3027475824438648,0.8300325157172939,1.1609871838518406,6483,406
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_RBF,C13,0.9527514282011796,0.17789270835610557,0.2553529670941074,0.964121842170276,0.20373510277805554,0.26335858445452837,6483,406
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_Poly3,C13,0.4819775996395419,0.6269071597381136,0.8455140637685936,0.6646352305577614,0.6812781049783174,0.8051765720977917,6483,406
hirsh_qcm5h_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C13,0.9630897891125049,0.1662447753554884,0.22569390408522283,0.9668450259160964,0.1921063015273009,0.2531668031418873,6483,406
hirsh_qcm5h_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C13,0.9999998740208484,7.323570933269471e-06,0.00041696145094267576,0.956741353516831,0.2252869714738513,0.28918041361553704,6483,406
hirsh_qcm5h_boltz,Tree Ensembles,RandomForest,C13,0.999169498487257,0.022965250441136797,0.03385452928601674,0.9782478565532537,0.14522941219478677,0.20506117450455943,6483,406
hirsh_qcm5h_boltz,Tree Ensembles,GradientBoosting,C13,0.9747660700492865,0.1405198348174113,0.18661176150418637,0.9395923678136742,0.25968557366378053,0.34172623180225503,6483,406
hirsh_qcm5h_boltz,Tree Ensembles,DecisionTree,C13,0.9999998740208484,7.323570933269471e-06,0.00041696145094267576,0.96720523224906,0.17758844087271436,0.2517878045362392,6483,406
hirsh_qcm5h_boltz,Tree Ensembles,ExtraTrees,C13,0.9999998740208484,7.323570954356578e-06,0.00041696145094267576,0.977287845578956,0.14390537670845732,0.20953741283790492,6483,406
hirsh_qcm5h_boltz,Tree Ensembles,HistGradientBoosting,C13,0.9942734151046505,0.06337421109637628,0.0888984968107073,0.9752013489051004,0.158636296400635,0.2189507516114102,6483,406
hirsh_qcm5h_boltz,Neural,MLP(100),C13,0.9657227149711455,0.16225581585096757,0.2174952485638295,0.9649205221866767,0.20809777539063082,0.2604107876650269,6483,406
hirsh_qcm5h_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C13,0.9800430304843534,0.12404464448768467,0.16595634552071092,0.9639149741409706,0.19763669089244143,0.26411673605297786,6483,406
hirsh_qcm5h_boltz,Linear/Regularized,Linear Regression,C14,0.2893442892704602,0.8159555539139927,1.0095802792733075,0.3641679915643631,0.7322228188456712,0.8671642644665252,6471,418
hirsh_qcm5h_boltz,Linear/Regularized,RidgeCV,C14,0.2893428362880147,0.8160612419065515,1.0095813113494951,0.3640955958587603,0.7323166754556207,0.8672136306364161,6471,418
hirsh_qcm5h_boltz,Linear/Regularized,LassoCV,C14,0.2745639386028934,0.8224755766466436,1.0200249710208678,0.46959088954103734,0.6403933806994776,0.7920191209647337,6471,418
hirsh_qcm5h_boltz,Linear/Regularized,ElasticNetCV,C14,0.2686230724012538,0.8306701439718222,1.0241931370275736,0.40838555286058886,0.6852459558618349,0.8364684491288804,6471,418
hirsh_qcm5h_boltz,Linear/Regularized,BayesianRidge,C14,0.28932426592078053,0.8163621407032071,1.0095945020792763,0.3638887051320895,0.732566614685256,0.8673546926152544,6471,418
hirsh_qcm5h_boltz,Kernel/Neighbors,LinearSVR,C14,0.2507427440929284,0.8003512194763875,1.0366370153483422,0.5225961224997971,0.5736758359262898,0.7514033898423597,6471,418
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_RBF,C14,0.9605849417383404,0.17161554575958365,0.23776193136931667,-0.23155678972011406,1.1030737853489447,1.2068614090972805,6471,418
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_Poly3,C14,0.4991980491364859,0.6346642590665368,0.8475088451760773,-5.444130356862389,2.615001566341743,2.760656280238482,6471,418
hirsh_qcm5h_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C14,0.9666580407093679,0.16555417151137314,0.21867885534522605,-1.0428503036649146,1.4329947930546438,1.554348687156503,6471,418
hirsh_qcm5h_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C14,0.9999998785565866,7.337151964207384e-06,0.0004173478842516992,0.9295885202726778,0.2120185745775343,0.28857048847992495,6471,418
hirsh_qcm5h_boltz,Tree Ensembles,RandomForest,C14,0.9992041517816466,0.022743857813017052,0.033785189380849553,0.9415551851495264,0.20852550615166215,0.26290761930207346,6471,418
hirsh_qcm5h_boltz,Tree Ensembles,GradientBoosting,C14,0.9748725908831967,0.14253658133958966,0.18983884762467884,0.944172923943917,0.2036294261533671,0.25695236546784556,6471,418
hirsh_qcm5h_boltz,Tree Ensembles,DecisionTree,C14,0.9999998785565866,7.337151964207384e-06,0.0004173478842516992,0.9298948372777647,0.22761543323708613,0.2879421080308887,6471,418
hirsh_qcm5h_boltz,Tree Ensembles,ExtraTrees,C14,0.9999998785565866,7.337151985246985e-06,0.0004173478842516992,0.945120589433885,0.20558427609478766,0.2547621457181105,6471,418
hirsh_qcm5h_boltz,Tree Ensembles,HistGradientBoosting,C14,0.9943362897101231,0.06326013609309893,0.0901284181089072,0.9403957708983074,0.21203684921345606,0.26550256225683017,6471,418
hirsh_qcm5h_boltz,Neural,MLP(100),C14,0.9658041398937712,0.16780675230801004,0.22146137874512128,0.8962361771361325,0.24109313580101044,0.35031050482371334,6471,418
hirsh_qcm5h_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C14,0.979992572818902,0.12698491818134444,0.16939744512303606,-2.70529081163385,1.807464654418501,2.093347502877512,6471,418
hirsh_qcm5h_boltz,Linear/Regularized,Linear Regression,C17,0.3282743124081501,0.7903576417658544,0.9938224549104434,-0.05032454459962077,0.8937016407958848,1.0379274121086732,6082,807
hirsh_qcm5h_boltz,Linear/Regularized,RidgeCV,C17,0.3282727223356854,0.7904759767838657,0.9938236311709425,-0.05034764495976707,0.8936768685155634,1.0379388258975435,6082,807
hirsh_qcm5h_boltz,Linear/Regularized,LassoCV,C17,0.32827431230393966,0.7903584812537444,0.9938224549875333,-0.05032512585741644,0.8937015477103891,1.0379276993071964,6082,807
hirsh_qcm5h_boltz,Linear/Regularized,ElasticNetCV,C17,0.3240844927565897,0.7976790499608045,0.9969170693253431,-0.05124213876353956,0.8934346238473683,1.0383806949636574,6082,807
hirsh_qcm5h_boltz,Linear/Regularized,BayesianRidge,C17,0.328255003170411,0.7907779989042181,0.9938367388782158,-0.050418968077315274,0.8936138395542526,1.0379740655520344,6082,807
hirsh_qcm5h_boltz,Kernel/Neighbors,LinearSVR,C17,0.299504362312762,0.7764407078084422,1.014881987231759,0.018368833227646264,0.8695522381744258,1.0034122394444247,6082,807
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_RBF,C17,0.9518227854575592,0.1877016617301947,0.2661544123165806,0.9749330583057537,0.11926699105390708,0.1603451765685655,6082,807
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_Poly3,C17,0.5250500438271952,0.6175858174915357,0.8356737354779744,0.0709656397465751,0.7407616008340911,0.9761602370180026,6082,807
hirsh_qcm5h_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C17,0.9624717633895716,0.17503060632327386,0.23490480800681027,0.9723066065788147,0.12900369853137467,0.16853624458457375,6082,807
hirsh_qcm5h_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C17,0.999999873963666,7.806430509764218e-06,0.00043048766133396644,0.9732597273354946,0.1238188609301627,0.16561060375781644,6082,807
hirsh_qcm5h_boltz,Tree Ensembles,RandomForest,C17,0.9991106802297381,0.024360117265178217,0.03616111394437313,0.980496667363114,0.098602984658218,0.1414358936077035,6082,807
hirsh_qcm5h_boltz,Tree Ensembles,GradientBoosting,C17,0.9744128053196733,0.14653185237487898,0.1939653541159929,0.958222269603245,0.163073035196364,0.2070034798454946,6082,807
hirsh_qcm5h_boltz,Tree Ensembles,DecisionTree,C17,0.999999873963666,7.806430509764218e-06,0.00043048766133396644,0.9854670375828917,0.09208815826557105,0.12209062023415823,6082,807
hirsh_qcm5h_boltz,Tree Ensembles,ExtraTrees,C17,0.999999873963666,7.806430530825517e-06,0.00043048766133396644,0.9885113663878767,0.0797325369601625,0.10855239618117712,6082,807
hirsh_qcm5h_boltz,Tree Ensembles,HistGradientBoosting,C17,0.9938988914221595,0.0669163959391488,0.09471465984148413,0.9836032584388299,0.09819625889598753,0.12968328424926331,6082,807
hirsh_qcm5h_boltz,Neural,MLP(100),C17,0.9636512186435082,0.17411551991678095,0.2311839897439917,0.972566207760381,0.13024016042882688,0.16774444515443487,6082,807
hirsh_qcm5h_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C17,0.9794001641406941,0.12981382693535937,0.17403824966167228,0.9752331117603711,0.12849561693893158,0.15938261461095582,6082,807
hirsh_qcm5h_boltz,Linear/Regularized,Linear Regression,C18,0.2717222862664309,0.7885759914929263,0.9829343129418222,0.4270119730369565,0.8972093797519666,1.1608376306173276,6285,604
hirsh_qcm5h_boltz,Linear/Regularized,RidgeCV,C18,0.2717202013267025,0.7887060181608605,0.9829357199307318,0.42717006409787917,0.8972985134675812,1.1606774783068565,6285,604
hirsh_qcm5h_boltz,Linear/Regularized,LassoCV,C18,0.2717222861497044,0.7885768750978646,0.9829343130205933,0.42701287681648215,0.8972099325176779,1.160836715116787,6285,604
hirsh_qcm5h_boltz,Linear/Regularized,ElasticNetCV,C18,0.2713616058110804,0.7904825621424652,0.9831776825417635,0.4288346227708665,0.898648089065861,1.1589898732931294,6285,604
