Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
homo_boltz,Linear/Regularized,Linear Regression,C1,0.3600108555184278,0.7708453027343839,0.9678675569979432,-0.3059044808410878,1.032006441205187,1.1954089260851284,6048,841
homo_boltz,Linear/Regularized,RidgeCV,C1,0.36000889941135206,0.770967441481185,0.9678690361254773,-0.305700745124476,1.0318862585537782,1.1953156738612682,6048,841
homo_boltz,Linear/Regularized,LassoCV,C1,0.35490207584004996,0.7785690184773052,0.9717229298579444,-0.2946013824309046,1.0263176159282759,1.190224324285548,6048,841
homo_boltz,Linear/Regularized,ElasticNetCV,C1,0.3550445405229944,0.778822216639117,0.9716156253403656,-0.2966667192984418,1.026909056141536,1.191173355611639,6048,841
homo_boltz,Linear/Regularized,BayesianRidge,C1,0.3599951355468448,0.7711963975870633,0.9678794437285188,-0.3053368999039656,1.03166421710414,1.195149119542192,6048,841
homo_boltz,Kernel/Neighbors,LinearSVR,C1,0.331418612381281,0.756766953947215,0.9892516194174743,-0.22567203858651785,1.0021956317422411,1.1581049760362505,6048,841
homo_boltz,Kernel/Neighbors,SVR_RBF,C1,0.9647229505262251,0.1697112854590824,0.22723527793034118,0.8859237565491616,0.29680473207547503,0.3533120047457494,6048,841
homo_boltz,Kernel/Neighbors,SVR_Poly3,C1,0.5357153355486283,0.6201459038565849,0.8243692775976842,0.008348121246741114,0.8030448967482745,1.041694588054182,6048,841
homo_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C1,0.9717034228423368,0.1538847986377404,0.20351507358746398,0.9017328973987873,0.2668173043449031,0.32791770355425337,6048,841
homo_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.9184093910156216,0.2423545790629851,0.2988001943971892,6048,841
homo_boltz,Tree Ensembles,RandomForest,C1,0.9991115485592948,0.024073880994021565,0.036061723299068295,0.9305465190365076,0.22427708923401649,0.27568161033168137,6048,841
homo_boltz,Tree Ensembles,GradientBoosting,C1,0.9757057355456183,0.14127913623190091,0.18857386658528963,0.9022366080028854,0.28126964341557614,0.3270761816500485,6048,841
homo_boltz,Tree Ensembles,DecisionTree,C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.9153429594467638,0.24301581345128234,0.3043633317480081,6048,841
homo_boltz,Tree Ensembles,ExtraTrees,C1,0.9999998726799524,7.850315887568704e-06,0.0004316960002487159,0.9098941061744342,0.2667567814484304,0.3140055960413829,6048,841
homo_boltz,Tree Ensembles,HistGradientBoosting,C1,0.9940298215511897,0.06589595728942961,0.09348098609498037,0.9384616423237476,0.2120537666011065,0.25949783520341707,6048,841
homo_boltz,Neural,MLP(100),C1,0.971795357150662,0.15345505171312337,0.2031841989527196,0.9147264157383908,0.24775981443562936,0.30546963591524695,6048,841
homo_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C1,0.9843026885357061,0.11101130936638542,0.15158012697959314,0.9150060749389207,0.25463337085318494,0.30496832269556123,6048,841
homo_boltz,Linear/Regularized,Linear Regression,C12,0.2628645790738522,0.7930975182686054,0.9860961601312989,0.42518922809155446,0.8206071074101837,1.1093701769179085,6210,679
homo_boltz,Linear/Regularized,RidgeCV,C12,0.26286273519758296,0.793238341226046,0.9860973934448259,0.4251853085981422,0.8207301777995862,1.1093739591727831,6210,679
homo_boltz,Linear/Regularized,LassoCV,C12,0.2628645789567675,0.7930985227806852,0.9860961602096133,0.4251893305649379,0.8206079910733822,1.1093700780323916,6210,679
homo_boltz,Linear/Regularized,ElasticNetCV,C12,0.26254987588380807,0.7950994970848334,0.9863066333250404,0.42490261475794955,0.8224853815796569,1.1096467206732803,6210,679
homo_boltz,Linear/Regularized,BayesianRidge,C12,0.26284340705248066,0.7935849254744862,0.9861103213684841,0.4251632371469356,0.8210297280617325,1.1093952575655825,6210,679
homo_boltz,Kernel/Neighbors,LinearSVR,C12,0.22876076049717609,0.7775105982041752,1.0086492879597628,0.29950011755438144,0.8602157941642001,1.224667156301641,6210,679
homo_boltz,Kernel/Neighbors,SVR_RBF,C12,0.9592587117738945,0.17066992106908954,0.23182646128901246,0.9621828905476496,0.22396012849365896,0.28454974632501484,6210,679
homo_boltz,Kernel/Neighbors,SVR_Poly3,C12,0.49049929787712976,0.6177503298327258,0.8198190785159069,0.6325513276388437,0.7352818703187132,0.8869770416806132,6210,679
homo_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C12,0.9691832865013412,0.15194463372356418,0.20162240360715267,0.9730485822470321,0.1953581969296363,0.2402176120306223,6210,679
homo_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C12,0.9999998624105999,7.64552501777552e-06,0.00042602797318488884,0.9157032646231845,0.27969451228625924,0.4248341455265334,6210,679
homo_boltz,Tree Ensembles,RandomForest,C12,0.99903594195545,0.02390954515836254,0.035661303937568056,0.9751538185862485,0.18065636133108093,0.2306449039780865,6210,679
homo_boltz,Tree Ensembles,GradientBoosting,C12,0.9741707360682492,0.13827197756498316,0.18458722567114025,0.9568423501790129,0.23608222902972478,0.3039785443242549,6210,679
homo_boltz,Tree Ensembles,DecisionTree,C12,0.9999998624105999,7.64552501777552e-06,0.00042602797318488884,0.966377968735466,0.19048151614062153,0.268303298165608,6210,679
homo_boltz,Tree Ensembles,ExtraTrees,C12,0.9999998624105999,7.645525038997924e-06,0.00042602797318488884,0.9863909789108126,0.12854810590949658,0.17069762596354388,6210,679
homo_boltz,Tree Ensembles,HistGradientBoosting,C12,0.9931960011884481,0.06697846182164516,0.09473877000167989,0.9808559163151083,0.15049309539674352,0.20245631581489013,6210,679
homo_boltz,Neural,MLP(100),C12,0.9712755894034834,0.14380116644461172,0.1946575219829575,0.963380733826798,0.2250002448421774,0.28000697903351224,6210,679
homo_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C12,0.9836645320304366,0.10855616378116734,0.14679505217094016,0.88154452622658,0.44882334694776144,0.5036068220004913,6210,679
homo_boltz,Linear/Regularized,Linear Regression,C13,0.28088551974838283,0.7983219711750917,0.9961978102238792,0.4802209713748753,0.7692392115474527,1.002401684469489,6483,406
homo_boltz,Linear/Regularized,RidgeCV,C13,0.2808837712676543,0.7984498690096263,0.9961990213186785,0.4803787286715705,0.7691409532051169,1.0022495542641798,6483,406
homo_boltz,Linear/Regularized,LassoCV,C13,0.2712131910617601,0.8078617434283923,1.002875028287189,0.4519724262314523,0.774356469847511,1.0292801951398456,6483,406
homo_boltz,Linear/Regularized,ElasticNetCV,C13,0.2736764341871306,0.8085907488862263,1.001178773703058,0.4674710051208243,0.7694953080456713,1.0146214529484936,6483,406
homo_boltz,Linear/Regularized,BayesianRidge,C13,0.2808677098652662,0.7987414013957883,0.9962101462685544,0.4807130330012076,0.7689262164737307,1.0019270979947836,6483,406
homo_boltz,Kernel/Neighbors,LinearSVR,C13,0.24872034451625225,0.7829385878810602,1.0182334970226459,0.33486762389396196,0.8175634093100429,1.1339305479203419,6483,406
homo_boltz,Kernel/Neighbors,SVR_RBF,C13,0.9659057337863428,0.1626911098527208,0.21691382854643387,0.9646645201133839,0.20074508815984393,0.26135926979328983,6483,406
homo_boltz,Kernel/Neighbors,SVR_Poly3,C13,0.4954086961705134,0.6295303302111881,0.8344809880296197,0.7680847712248708,0.5524740160364203,0.6695716313421901,6483,406
homo_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C13,0.9719698012178468,0.14992598055185433,0.19667975319692574,0.9619238500809612,0.20738086237786568,0.2713057044326737,6483,406
homo_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C13,0.9999998740208484,7.323570933269471e-06,0.00041696145094267576,0.9282810366815486,0.26602421384206965,0.3723483321506762,6483,406
homo_boltz,Tree Ensembles,RandomForest,C13,0.9991725062986722,0.02289784058699229,0.03379316852834589,0.9731666197200377,0.16588200961789484,0.22775614532032043,6483,406
homo_boltz,Tree Ensembles,GradientBoosting,C13,0.9757204791664413,0.13794249105084663,0.18304868848037845,0.9461767638329267,0.24494372983405202,0.3225650535518216,6483,406
homo_boltz,Tree Ensembles,DecisionTree,C13,0.9999998740208484,7.323570933269471e-06,0.00041696145094267576,0.9478890981485901,0.22306360114831175,0.3173925334111231,6483,406
homo_boltz,Tree Ensembles,ExtraTrees,C13,0.9999998740208484,7.323570954356578e-06,0.00041696145094267576,0.9707952629933907,0.1728888683581529,0.23760690702766035,6483,406
homo_boltz,Tree Ensembles,HistGradientBoosting,C13,0.9942868288574894,0.06363491266027696,0.08879431939952455,0.9696966150457149,0.17968940844628792,0.2420348941177959,6483,406
homo_boltz,Neural,MLP(100),C13,0.9729176596784155,0.145973797554438,0.19332573118636337,0.9568316605445432,0.23089967835496336,0.28887840847358087,6483,406
homo_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C13,0.9846063922329347,0.10965396265307539,0.14575275551772424,0.9406155155154098,0.26092558314522163,0.33881989736887164,6483,406
homo_boltz,Linear/Regularized,Linear Regression,C14,0.2913126977101982,0.8144912770852948,1.0081811176765434,0.41138591985646955,0.6977619125829773,0.8343446821807354,6471,418
