Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
lumo_min,Linear/Regularized,Linear Regression,C1,0.3637867236531458,0.7715752061327688,0.9650081752343161,-0.31381642280124233,1.0395354260686536,1.1990247049816762,6048,841
lumo_min,Linear/Regularized,RidgeCV,C1,0.3637846800587937,0.7716943645832234,0.9650097250948317,-0.313571200368602,1.0394047475585084,1.19891280141923,6048,841
lumo_min,Linear/Regularized,LassoCV,C1,0.35833950373163437,0.7791997931158606,0.9691305412433822,-0.3006019795206212,1.0322699216364213,1.1929795352001753,6048,841
lumo_min,Linear/Regularized,ElasticNetCV,C1,0.3580803107398566,0.7789476912105866,0.9693262572679144,-0.2930856763748737,1.0292868541189788,1.1895273689967576,6048,841
lumo_min,Linear/Regularized,BayesianRidge,C1,0.3637716916661229,0.7718984057010889,0.9650195754244908,-0.3131606446366877,1.0391803358687333,1.198725427111178,6048,841
lumo_min,Kernel/Neighbors,LinearSVR,C1,0.3339160107175312,0.7571954651877506,0.9874022807861575,-0.24453353393281363,1.0103011078460797,1.1669818188128271,6048,841
lumo_min,Kernel/Neighbors,SVR_RBF,C1,0.9546953080019079,0.18115963086171935,0.25751422235432125,0.8883767773969757,0.3034897149940627,0.3494926660159437,6048,841
lumo_min,Kernel/Neighbors,SVR_Poly3,C1,0.5412544430334456,0.6026738258335359,0.8194369897032143,-0.2501002764201632,0.9017750355268237,1.169588835376488,6048,841
lumo_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C1,0.9615923647241081,0.17651328488601578,0.23710374476306692,0.8760696844886166,0.3235245073755832,0.36825577486875516,6048,841
lumo_min,Kernel/Neighbors,"kNN(k=5,dist)",C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.8341872816590068,0.3403031565086034,0.4259608725221839,6048,841
lumo_min,Tree Ensembles,RandomForest,C1,0.999082556293579,0.024389893772137804,0.0366453894598519,0.9182086459414486,0.25194303340168206,0.2991675517315572,6048,841
lumo_min,Tree Ensembles,GradientBoosting,C1,0.9757529047977893,0.14028821061926408,0.1883907120384049,0.894291513303006,0.2837801414947817,0.34010711400978655,6048,841
lumo_min,Tree Ensembles,DecisionTree,C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.905068466795157,0.26817146711460954,0.32230425267197116,6048,841
lumo_min,Tree Ensembles,ExtraTrees,C1,0.9999998726799524,7.850315887568704e-06,0.0004316960002487159,0.9170969136901505,0.2603366678340025,0.30119387625042876,6048,841
lumo_min,Tree Ensembles,HistGradientBoosting,C1,0.9937580408253462,0.0673117611733675,0.09558507619278969,0.921997314913368,0.2484932407870806,0.2921565078036099,6048,841
lumo_min,Neural,MLP(100),C1,0.9528060335206746,0.20067660803906787,0.26282874941879447,0.8318859519961765,0.3779969632362737,0.42890666119799503,6048,841
lumo_min,Gaussian Process,GPR_C*(RBF+White)_fixed,C1,0.9752828402635347,0.1403602475182526,0.19020805772514635,0.8916692051861225,0.29848731208560214,0.34429978628313035,6048,841
lumo_min,Linear/Regularized,Linear Regression,C12,0.2613269821026243,0.7950409722873975,0.9871240775101727,0.4543138322583351,0.8134327773599177,1.0808999833358262,6210,679
lumo_min,Linear/Regularized,RidgeCV,C12,0.26132508029235535,0.7951659944267981,0.9871253482493588,0.4543038272580734,0.8135556596969941,1.0809098922868736,6210,679
lumo_min,Linear/Regularized,LassoCV,C12,0.26131907346254823,0.7952710880350907,0.9871293618429928,0.4542869811694148,0.8136652929846071,1.0809265764458036,6210,679
lumo_min,Linear/Regularized,ElasticNetCV,C12,0.25375558608067517,0.8042151175942036,0.9921701891053295,0.4322193207721341,0.8308410558987053,1.1025653566299,6210,679
lumo_min,Linear/Regularized,BayesianRidge,C12,0.2613060678223027,0.7954649367395227,0.9871380517877212,0.45426787291227855,0.8138493090478373,1.080945500716851,6210,679
lumo_min,Kernel/Neighbors,LinearSVR,C12,0.22496413363574597,0.779125424648394,1.0111289100169918,0.31192329462006796,0.856056335123429,1.2137590053051497,6210,679
lumo_min,Kernel/Neighbors,SVR_RBF,C12,0.9460978414685829,0.18858358871771283,0.2666543703196331,0.9559377016654363,0.24279671209487064,0.30714794277934143,6210,679
lumo_min,Kernel/Neighbors,SVR_Poly3,C12,0.4905685414759211,0.6132588409019617,0.819763367942807,0.7778899915915098,0.5706313816833057,0.6896013480596971,6210,679
lumo_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C12,0.9550560247589841,0.18270669853007052,0.24349013402105776,0.9473046171117204,0.27973789381453346,0.33589251003716625,6210,679
lumo_min,Kernel/Neighbors,"kNN(k=5,dist)",C12,0.9999998624105999,7.64552501777552e-06,0.00042602797318488884,0.9213869882159946,0.2552881725401216,0.410261964293746,6210,679
lumo_min,Tree Ensembles,RandomForest,C12,0.9990069405800406,0.02431423415858201,0.03619372190121989,0.9821950233037787,0.15212149875539976,0.19524716756093244,6210,679
