Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
nbo_boltz,Linear/Regularized,Linear Regression,C1,0.37374204574773784,0.7689805059171223,0.9574282909203152,-0.30978731508787316,1.0296094414926489,1.1971847564450784,6048,841
nbo_boltz,Linear/Regularized,RidgeCV,C1,0.3737400533979871,0.769096091569549,0.9574298138794144,-0.3095793786817771,1.029486102149959,1.1970897226278672,6048,841
nbo_boltz,Linear/Regularized,LassoCV,C1,0.3683971038763908,0.7762912404437489,0.9615053058083297,-0.2977089969860822,1.0241950616557238,1.191651999816125,6048,841
nbo_boltz,Linear/Regularized,ElasticNetCV,C1,0.36853935138674365,0.7765596088622317,0.9613970261927133,-0.2999896345886437,1.0247931330545144,1.1926986648844606,6048,841
nbo_boltz,Linear/Regularized,BayesianRidge,C1,0.37372754611515413,0.7692948420718632,0.9574393744347014,-0.3092353225145763,1.0292796904980925,1.1969324610049137,6048,841
nbo_boltz,Kernel/Neighbors,LinearSVR,C1,0.34360457606342487,0.754448677963664,0.9801948155339976,-0.22695987368627923,1.0016810043353659,1.1587132369018776,6048,841
nbo_boltz,Kernel/Neighbors,SVR_RBF,C1,0.9702840110678953,0.15361040942001208,0.2085569767764111,0.8796204639312619,0.3067919814705143,0.3629419104957965,6048,841
nbo_boltz,Kernel/Neighbors,SVR_Poly3,C1,0.5601185339189074,0.5931265721351868,0.8024120845784325,0.12729921413344658,0.75933198362321,0.9772225316742064,6048,841
nbo_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C1,0.9731358478700872,0.14788220165746588,0.198297024633567,0.8757567660078005,0.313467180648965,0.3687203964129037,6048,841
nbo_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.9034645070508084,0.2567306736468217,0.32501566813634225,6048,841
nbo_boltz,Tree Ensembles,RandomForest,C1,0.9991209271632867,0.023919960580117583,0.035870882307743324,0.9347266983846503,0.21670955911776119,0.26725668585727497,6048,841
nbo_boltz,Tree Ensembles,GradientBoosting,C1,0.9761637591469227,0.14019903865219632,0.18678780185766278,0.9011906357387419,0.2782370475506809,0.32882122344297654,6048,841
nbo_boltz,Tree Ensembles,DecisionTree,C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.9145050878822101,0.24141300667039045,0.3058658027192256,6048,841
nbo_boltz,Tree Ensembles,ExtraTrees,C1,0.9999998726799524,7.850315887568704e-06,0.0004316960002487159,0.8373653011774564,0.3756205365289712,0.42185907226614194,6048,841
nbo_boltz,Tree Ensembles,HistGradientBoosting,C1,0.9939783838210657,0.06570690667759506,0.09388282810194196,0.9358888694700254,0.2176396615004357,0.26486678863414487,6048,841
nbo_boltz,Neural,MLP(100),C1,0.9733184653766845,0.1461134308404234,0.19762188216920845,0.863047772777037,0.32729980143508103,0.3871197584324633,6048,841
nbo_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C1,0.9839995059699091,0.11014398508811041,0.15303695814464435,0.8012803111710749,0.38963398092402757,0.4663169884507682,6048,841
nbo_boltz,Linear/Regularized,Linear Regression,C12,0.2697700273463134,0.7920959355998178,0.9814664417746728,0.47423780902711665,0.8159996077186779,1.0609837035548852,6210,679
nbo_boltz,Linear/Regularized,RidgeCV,C12,0.2697681031314336,0.792232502669456,0.9814677348954415,0.47425331738191157,0.81607760352294,1.060968055574366,6210,679
nbo_boltz,Linear/Regularized,LassoCV,C12,0.26977002722890164,0.792096880750378,0.9814664418535763,0.4742379687485536,0.8160000299948142,1.0609835423966112,6210,679
nbo_boltz,Linear/Regularized,ElasticNetCV,C12,0.26964780869514726,0.7932269692413583,0.9815485723981978,0.47427045321414574,0.8167228280209988,1.0609507651954144,6210,679
nbo_boltz,Linear/Regularized,BayesianRidge,C12,0.26975011756586587,0.7925411179502341,0.9814798215652255,0.4742757498129564,0.8162639691035705,1.0609454207699878,6210,679
nbo_boltz,Kernel/Neighbors,LinearSVR,C12,0.23322618928655536,0.7768190035656587,1.0057250396674233,0.3377237564011091,0.8498620552174102,1.190785741976344,6210,679
nbo_boltz,Kernel/Neighbors,SVR_RBF,C12,0.9673782887075711,0.15327715006140943,0.20744310166567934,0.9767136925212518,0.18275649692107818,0.2232874692195682,6210,679
nbo_boltz,Kernel/Neighbors,SVR_Poly3,C12,0.5119100465221,0.6005952235581153,0.8024085759608561,0.8366010238548313,0.46923089922106,0.5914781461057178,6210,679
nbo_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C12,0.9708860222756664,0.14732040348080205,0.19597307181795645,0.9731437134100599,0.19079851273343995,0.23979328589343604,6210,679
nbo_boltz,Kernel/Neighbors,"kNN(k=5,dist)",C12,0.9999998624105999,7.64552501777552e-06,0.00042602797318488884,0.9229357993698861,0.23950190048542744,0.4062004278211705,6210,679
nbo_boltz,Tree Ensembles,RandomForest,C12,0.9990545884876489,0.023733615033889568,0.03531474467349475,0.9797063145622855,0.1620927718450961,0.2084464483232487,6210,679
nbo_boltz,Tree Ensembles,GradientBoosting,C12,0.9733271307392092,0.14026129308508967,0.18757739296278148,0.9620419270106669,0.22894603785944323,0.285079583614747,6210,679
nbo_boltz,Tree Ensembles,DecisionTree,C12,0.9999998624105999,7.64552501777552e-06,0.00042602797318488884,0.9689577676477391,0.1903098437555616,0.2578045097551121,6210,679
nbo_boltz,Tree Ensembles,ExtraTrees,C12,0.9999998624105999,7.645525038997924e-06,0.00042602797318488884,0.988203317871401,0.12301165260033334,0.15892564258436162,6210,679
nbo_boltz,Tree Ensembles,HistGradientBoosting,C12,0.9931061238726032,0.06779558225018782,0.09536244231129652,0.9793822373784928,0.16484343944261193,0.21010423435726214,6210,679
nbo_boltz,Neural,MLP(100),C12,0.972632814257699,0.138076221239697,0.19000310461802966,0.9705599370434984,0.20310131382203267,0.2510633993025666,6210,679
nbo_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,C12,0.9847052462012598,0.10170672458406341,0.14204203073695476,0.9460828335235105,0.2671514165680842,0.3397641618436293,6210,679
nbo_boltz,Linear/Regularized,Linear Regression,C13,0.2942782111843183,0.7963865244393532,0.9868776850210184,0.48016714801170324,0.769276496582037,1.002453582709225,6483,406
nbo_boltz,Linear/Regularized,RidgeCV,C13,0.294276427155571,0.7965093970261501,0.9868789324084983,0.4803332683739502,0.769173832248004,1.002293395393332,6483,406
nbo_boltz,Linear/Regularized,LassoCV,C13,0.29427821107244245,0.7963873637681081,0.9868776850992417,0.4801682838339816,0.7692756827010409,1.0024524875401435,6483,406
nbo_boltz,Linear/Regularized,ElasticNetCV,C13,0.2941552658792328,0.7974633679265757,0.9869636443155123,0.4814336574765372,0.7684291682651934,1.0012316599258058,6483,406
nbo_boltz,Linear/Regularized,BayesianRidge,C13,0.29426171653445843,0.7967670705786115,0.9868892179699874,0.480661980282713,0.7689648908534923,1.0019763480705535,6483,406
nbo_boltz,Kernel/Neighbors,LinearSVR,C13,0.2581404360713855,0.7810776349658479,1.0118296831437004,0.33411772941548956,0.818043280715855,1.1345695851628832,6483,406
nbo_boltz,Kernel/Neighbors,SVR_RBF,C13,0.9694510186045621,0.15375933077514609,0.20532646623887665,0.9663994638710787,0.1987494750254755,0.254862251088438,6483,406
nbo_boltz,Kernel/Neighbors,SVR_Poly3,C13,0.5254966856015513,0.6020912186932857,0.8092192231588798,0.7415010491161658,0.5754368399708845,0.7069062210423799,6483,406
