group,n,MAE,RMSE,R2
C1,841,0.15813980425326246,0.19818828830516672,0.9641049636969798
C12,679,0.18949537688369114,0.24400380185415693,0.9721922973180335
C13,406,0.2011412803445198,0.26663753880657,0.9632228762227043
C14,418,0.3582475319879177,0.42210166405310173,0.849348392311919
C17,807,0.14054024199809545,0.18935961261977496,0.9650405764108113
C18,604,0.2254946212654609,0.2896723480711477,0.9643206716453762
C19,683,0.16335460130722332,0.2131662129701561,0.9743871919010528
C2,742,0.13760515360993644,0.16453579085662945,0.9745881159121639
C3,1160,0.1436872201439685,0.20335069474519307,0.9482926833395043
C4,549,0.34825878749729433,0.42970531700975556,0.8195331039184691
