group,n,MAE,RMSE,R2
C1,841,0.35477987293743457,0.4087575874209377,0.8473101819228717
C12,679,0.1932760507784567,0.25756729512619436,0.9690148673769396
C13,406,0.16865268079818221,0.2345501840967776,0.9715418454303175
C14,418,0.2940453651608075,0.381903103173524,0.8766764503540755
C17,807,0.11322551687963825,0.14451483827478373,0.9796382813212693
C18,604,0.17026590042181747,0.22008650190828563,0.9794036906387241
C19,683,0.13747114440579558,0.1802185857622813,0.981692897601695
C2,742,0.09812601633311273,0.12272716303292475,0.9858616903219232
C3,1160,0.18291259770649118,0.2378822051406968,0.9292405267688771
C4,549,0.5501101240684944,0.6341005324419585,0.6070182977739567
