group,n,MAE,RMSE,R2
C1,841,0.1716369570261107,0.22051742476927738,0.9555610030785681
C12,679,0.1858713147508022,0.2410867365761073,0.9728532051169948
C13,406,0.17871443597504483,0.24225681746301472,0.9696410188334751
C14,418,0.26968626132017237,0.3384700315398774,0.9031320551538007
C17,807,0.12610483611570825,0.16562884901249997,0.9732538350804222
C18,604,0.2032294276953203,0.26653449590024136,0.9697928716410095
C19,683,0.15587440889982404,0.20780979423454987,0.9756582117161446
C2,742,0.12567774641257748,0.15367175169750064,0.9778331397512637
C3,1160,0.15678995880164837,0.21496220000248856,0.9422190236422968
C4,549,0.4511933402555852,0.5242637773045682,0.7313692044185419
