group,n,MAE,RMSE,R2
C1,841,0.29243615059479017,0.3492408098195191,0.8885375983435779
C12,679,0.18862886356964187,0.22751915059567093,0.9758226977203898
C13,406,0.2027473159623475,0.25944556572609556,0.9651800869397524
C14,418,0.2923920621012462,0.38464349144176174,0.8749002567563503
C17,807,0.14467778484823318,0.1828109690669558,0.9674167761495871
C18,604,0.22878430873577335,0.3003513252238391,0.961641492923643
C19,683,0.16751354143515806,0.21562617826765537,0.9737926307797201
C2,742,0.15139277364804016,0.1943566454392851,0.9645419466689142
C3,1160,0.23458028603236025,0.29581301191858755,0.8905803738784372
C4,549,0.442775110247306,0.503381886836975,0.7523426267152861
