Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
dg_ch3,Gaussian Process,GPR[RBF + White],C1,0.9838059019932237,0.11850908964309384,0.1578809335926162,0.9629445586720476,0.15822998809494762,0.20136629683588386,1000,841
dg_ch3,Gaussian Process,GPR[RBF(ARD) + White],C1,0.996141911922827,0.05521579015818223,0.0770614849008917,0.4673556658208696,0.5637320072319372,0.7634479692372476,1000,841
dg_ch3,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9891100975112364,0.09633687687265349,0.12946825653248806,0.9640242803697384,0.1568756637145192,0.19841090285812774,1000,841
dg_ch3,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9860752514834837,0.1091988688083481,0.14640131728510078,0.9644018524418521,0.15607280367310677,0.1973669763562189,1000,841
dg_ch3,Gaussian Process,GPR[RQ + White],C1,0.985087723130814,0.11301645317777217,0.15150371540276505,0.9643667840079877,0.15624496246486125,0.1974641674670137,1000,841
dg_ch3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9886427819340505,0.09848303304227517,0.13221699624745062,0.9638244463012088,0.15729119081132265,0.1989611955401906,1000,841
dg_ch3,Gaussian Process,GPR[RBF + White],C12,0.9813947035803089,0.1145172665071315,0.154399402790321,0.9590978843023126,0.23233098895024012,0.29592858936328015,1000,679
dg_ch3,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9943037701109394,0.059727919349740984,0.08543209836013521,0.9540710159971001,0.22439135747725,0.31358657138023543,1000,679
dg_ch3,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9888248964631827,0.08916040887012107,0.11966112929244445,0.961080227594075,0.222065176706509,0.28866835907298083,1000,679
dg_ch3,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9847360408734217,0.10382682812988335,0.13984949954757914,0.9613307851427466,0.2234802200111726,0.2877376647696254,1000,679
dg_ch3,Gaussian Process,GPR[RQ + White],C12,0.9838952836633048,0.1065471713010072,0.14364941417976038,0.961574762989069,0.22241104708306816,0.28682850875921073,1000,679
