Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
dg_h2o,Gaussian Process,GPR[RBF + White],C1,0.9201502667597584,0.22999308886600991,0.35058072836265036,0.8862547122455036,0.2933776346495947,0.3527991216534721,1000,841
dg_h2o,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9958479685611354,0.05724670679181013,0.07994321701524298,-0.48506258046640305,1.0796494708476234,1.2747739085033931,1000,841
dg_h2o,Gaussian Process,GPR[Matern_1.5 + White],C1,0.958845208794561,0.16654089321463922,0.2516874180372792,0.7510199563041536,0.4059952840020615,0.5219670132573386,1000,841
dg_h2o,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9331068396216597,0.20997982783630914,0.3208796398707102,0.8812033136450425,0.2894361159187524,0.36054788457110437,1000,841
dg_h2o,Gaussian Process,GPR[RQ + White],C1,0.977722339069609,0.12268784321572002,0.18517659709076384,0.6810695419603121,0.42479611311089027,0.590756877947724,1000,841
dg_h2o,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9633349808955054,0.15750600438541165,0.23756215814526033,0.7109300484132774,0.4339573689346514,0.562421951793284,1000,841
dg_h2o,Gaussian Process,GPR[RBF + White],C12,0.9421808019984179,0.1795918316302212,0.2721844756259609,0.9648892784005373,0.21695783134021174,0.2741788276582832,1000,679
dg_h2o,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9945793119338111,0.05765493396341132,0.0833401979429553,0.7595369632125308,0.5179345950860222,0.7175269229520083,1000,679
dg_h2o,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9783673041596981,0.10929463702184962,0.1664878869857435,0.9655211969229934,0.2149125297359816,0.2717003062954304,1000,679
dg_h2o,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9578078118115425,0.15064027798870736,0.2325109144097687,0.9667232094888504,0.2082596908246779,0.2669222357495811,1000,679
dg_h2o,Gaussian Process,GPR[RQ + White],C12,0.9884236831970309,0.08159353359379122,0.12179024975121418,0.9566827266858422,0.23448788242651553,0.30454017515828025,1000,679
dg_h2o,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9850494600248328,0.09169870446300547,0.13840626806451836,0.9639129585714923,0.21863402493497525,0.2779647193391634,1000,679
dg_h2o,Gaussian Process,GPR[RBF + White],C13,0.9310531723134111,0.20298831147502006,0.31024894953579807,0.950520355370689,0.2374472968830473,0.3092756277697667,1000,406
dg_h2o,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9956057639266377,0.057117925513327075,0.07832400164806688,0.7127647351535602,0.5462879074949025,0.7451630137984047,1000,406
dg_h2o,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9572894421403066,0.15704979516276693,0.24418602057676453,0.9594402043548925,0.20773415734138498,0.28001435125268265,1000,406
dg_h2o,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9454895633089535,0.1779453084825102,0.2758627149040859,0.9608002733351046,0.20597666649616758,0.2752795378994184,1000,406
dg_h2o,Gaussian Process,GPR[RQ + White],C13,0.9453629478083798,0.1785768769479007,0.2761829126369949,0.9611860990001296,0.20482477521405884,0.27392146019953156,1000,406
dg_h2o,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C13,0.9570199347304384,0.15746224407702847,0.2449552267735588,0.9595303191527507,0.20753054130600795,0.27970311363900324,1000,406
dg_h2o,Gaussian Process,GPR[RBF + White],C14,0.9714245279353747,0.14665804274763536,0.1988980053933829,0.21307395293301812,0.6945952001306522,0.964710797226408,1000,418
dg_h2o,Gaussian Process,GPR[RBF(ARD) + White],C14,0.9955119963166307,0.05589028497890037,0.07882433643718012,0.18173380344648538,0.8222490835999444,0.9837335522629038,1000,418
dg_h2o,Gaussian Process,GPR[Matern_1.5 + White],C14,0.9850954116965637,0.10594461671949916,0.14364605830000488,0.20452449947012608,0.706644099260459,0.9699371265113162,1000,418
dg_h2o,Gaussian Process,GPR[Matern_2.5 + White],C14,0.9807423070398106,0.12089332326783939,0.1632810746876309,0.1952633665031731,0.7063547101823842,0.9755669183805145,1000,418
