Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
dg_nh3,Gaussian Process,GPR[RBF + White],C1,0.9485748396427226,0.199306145752662,0.2813449547260654,0.5147568604320203,0.63939271836564,0.7286861085581886,1000,841
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C1,0.997115368466823,0.04754766509822533,0.06663409098753213,-0.010265780395064983,0.8627961579507675,1.0514257520897181,1000,841
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9693502045100792,0.14947235958478894,0.21720263754985805,0.4576056428760088,0.681425833492599,0.7704037173443086,1000,841
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9600054386461581,0.1732695425259306,0.24811428727426846,0.4801763199116924,0.6645823168265329,0.7542039769092282,1000,841
dg_nh3,Gaussian Process,GPR[RQ + White],C1,0.95635756131161,0.1820276461777189,0.2591825804371248,0.4592950198056286,0.6755266650705803,0.7692030067664624,1000,841
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9661772069878629,0.15809446083788775,0.2281686842900771,0.5118410418347212,0.6454950712543327,0.730872161322985,1000,841
dg_nh3,Gaussian Process,GPR[RBF + White],C12,0.9279264224646544,0.22111053547157758,0.30388926536993427,0.9395998091098327,0.2778835487713985,0.35961118661931485,1000,679
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9954317678127477,0.05247863965601882,0.07650704076581014,-0.1076799055540214,1.1103597976708177,1.540001614477545,1000,679
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9609151091873951,0.15537692205910578,0.22378541114184147,0.9320260341697131,0.2936508919355971,0.3814919181713061,1000,679
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C12,0.942418604435487,0.19343757830914876,0.27162417019527224,0.9356339439250059,0.28711104529773845,0.37122950574911173,1000,679
dg_nh3,Gaussian Process,GPR[RQ + White],C12,0.9307323312310718,0.21570361737990568,0.2979151609816755,0.9386811566332721,0.27982248438810126,0.36233560708017354,1000,679
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9548800302657688,0.16889133370778533,0.2404427681321858,0.9366502087840577,0.28445408273222966,0.36828720548206323,1000,679
dg_nh3,Gaussian Process,GPR[RBF + White],C13,0.9359813086798214,0.20893008942801763,0.29895551628989864,0.8285787507420591,0.4581393266065435,0.5756582579403542,1000,406
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9966246506471084,0.04908725851936406,0.06864557388772714,-0.06721448733880586,1.0526987207376945,1.4363433474777971,1000,406
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9594372644574755,0.16048261511871037,0.23796703168599218,0.7789126747232655,0.5165279572012044,0.6537539622066935,1000,406
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9476606794076046,0.1855833335384615,0.27031317635708596,0.804453788283791,0.48918905317197386,0.6148329224849937,1000,406
dg_nh3,Gaussian Process,GPR[RQ + White],C13,0.9396539152592368,0.2013277820776211,0.29025367321699297,0.8181398901283699,0.47340930928647285,0.5929268752099108,1000,406
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C13,0.9522124324155739,0.17703177126116373,0.2582918114042895,0.8112868528438323,0.4816070213758484,0.6039952036750645,1000,406
dg_nh3,Gaussian Process,GPR[RBF + White],C14,0.9351540460854378,0.20681452094785022,0.2996230101011267,0.10560541511198074,0.9150608760144888,1.0284774157958523,1000,418
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C14,0.9962717765574853,0.0501674607368604,0.07184303777688503,0.14907991641270746,0.9008783569072492,1.0031700692636571,1000,418
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C14,0.9538366235846583,0.16924787085025964,0.2528031633560096,0.005804389660999054,0.9772026912769164,1.0843415503206748,1000,418
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C14,0.9441949126439556,0.18790230840005212,0.27795252090529377,0.015064692179400652,0.9701801709074577,1.0792797584675258,1000,418
dg_nh3,Gaussian Process,GPR[RQ + White],C14,0.9406470205984511,0.1949545688145504,0.28665200471101754,0.011509940686021625,0.9685737982965027,1.081225630380212,1000,418
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C14,0.9510544946588799,0.17483307621142755,0.26030956682992357,0.0201184319449752,0.975945427623559,1.076507285149105,1000,418
dg_nh3,Gaussian Process,GPR[RBF + White],C17,0.9255635433394983,0.23677957750260561,0.3302813550709893,0.8974095134922149,0.26056169973002674,0.3243835104972604,1000,807
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C17,0.9974184805392136,0.045015469718621845,0.06150761872935895,0.03453889991116332,0.8403969015582924,0.9951134926088065,1000,807
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C17,0.9533651571427629,0.17886246045968857,0.26142461120138694,0.8788950474249403,0.2951247929125111,0.3524407986846172,1000,807
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C17,0.9385561074115305,0.20926153520468102,0.3000755236179729,0.8846396721210414,0.28798644118860106,0.3439802166164544,1000,807
dg_nh3,Gaussian Process,GPR[RQ + White],C17,0.928573763641758,0.23003347699972984,0.32353412521627445,0.8925591723943578,0.27062375195064425,0.3319631655345663,1000,807
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C17,0.9413175238798375,0.20451262586233385,0.29325500117065734,0.8875846836979702,0.2838920406589432,0.3395611284412339,1000,807
dg_nh3,Gaussian Process,GPR[RBF + White],C18,0.9605720818680897,0.16720565763789358,0.22522875976007412,0.650267493545615,0.6799145064985218,0.9069152499726011,1000,604
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C18,0.9962596617657874,0.048801860438809984,0.06937090506210551,0.4919116809973093,0.877309697760268,1.0931211816289732,1000,604
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C18,0.9912346328588159,0.07670816897876255,0.10619571126114188,0.6257645254151276,0.7000230605820766,0.9381476195509842,1000,604
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C18,0.9811612293749138,0.11409945251772803,0.15568551278797874,0.6249095864190981,0.6985280082307627,0.9392186049145042,1000,604
dg_nh3,Gaussian Process,GPR[RQ + White],C18,0.9814832430445684,0.11276945889605558,0.1543492009076588,0.622525356738215,0.699609487065177,0.9421989072084627,1000,604
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C18,0.9893254427326689,0.08512763326861422,0.11719170102637484,0.6226009386868899,0.7028701069772959,0.9421045739918611,1000,604
dg_nh3,Gaussian Process,GPR[RBF + White],C19,0.9265746619511729,0.22400581285902352,0.3119925492637126,0.9372465753846083,0.24918436796220655,0.3336633360234777,1000,683
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C19,0.9957544130515225,0.052247582604894816,0.07502225520760625,0.8752303467025311,0.34920752623030554,0.4704833471513226,1000,683
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C19,0.9654907119293336,0.14848850026937802,0.2138893916690382,0.9395271506521797,0.24448472831325982,0.32754425614589017,1000,683
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C19,0.9435940407982243,0.19396839648398412,0.2734536595765279,0.9403063675113407,0.2428610760252116,0.32542714468086364,1000,683
dg_nh3,Gaussian Process,GPR[RQ + White],C19,0.9291367717077031,0.21921901371238137,0.3065008703431658,0.9379930336396802,0.24776072595717924,0.3316729199084209,1000,683
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C19,0.9587291958342079,0.164188430713843,0.23390672644298496,0.9402170979530794,0.24235316268033286,0.325670385737626,1000,683
dg_nh3,Gaussian Process,GPR[RBF + White],C2,0.932835298166722,0.23204424415785102,0.31877661276341146,0.915892201022002,0.2407723550628482,0.2993367811020151,1000,742
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C2,0.9965923177485059,0.05078774425404524,0.07180347323954533,-4.077772010174771,1.8849372066081005,2.325833110522693,1000,742
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C2,0.9734774622517849,0.133882304896539,0.20031959992239626,0.8495366830983533,0.326435933198998,0.40036607079576836,1000,742
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C2,0.9588132524324567,0.17226455395026222,0.24962878047309464,0.8740177591436359,0.29853575096404933,0.3663503532377809,1000,742
dg_nh3,Gaussian Process,GPR[RQ + White],C2,0.9629687032530173,0.16122768799084572,0.23670114905421247,0.8510799193764662,0.32356708016134106,0.398307589322741,1000,742
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C2,0.9717154259464408,0.13911960122023678,0.20686676717577912,0.8566889382560352,0.3187143364790549,0.39073454308680833,1000,742
dg_nh3,Gaussian Process,GPR[RBF + White],C3,0.9610481630261952,0.18494579965283203,0.2487512940748376,0.44285085985010253,0.4907141653090199,0.6675063360586764,1000,1160
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C3,0.9970016102475648,0.04945367233013079,0.06901530621808974,-0.11802774656857329,0.8182383751560315,0.9455749338267899,1000,1160
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C3,0.9876195261965557,0.10530729252538247,0.14023938856140986,0.41942392450413146,0.5024134215781736,0.6813954477464944,1000,1160
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C3,0.9720100523758789,0.1568547626165689,0.2108639898361082,0.4279361922846372,0.5016412518424821,0.676381773894271,1000,1160
dg_nh3,Gaussian Process,GPR[RQ + White],C3,0.9631183433216073,0.17942769450397475,0.24205083613887993,0.43806638129347986,0.4957455610256697,0.6703662908274367,1000,1160
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C3,0.9835495637293651,0.12132697026917875,0.1616553517251002,0.42710176282888446,0.49885863638203826,0.6768748895290353,1000,1160
dg_nh3,Gaussian Process,GPR[RBF + White],C4,0.9288491708617556,0.21919832746318918,0.3112445957570394,-0.2585050987824733,0.8210774456288992,1.134748044021698,1000,549
dg_nh3,Gaussian Process,GPR[RBF(ARD) + White],C4,0.9975454313897505,0.04109273261021442,0.05780952816027874,-0.21706371561971083,1.0052070563281867,1.1159085640645734,1000,549
dg_nh3,Gaussian Process,GPR[Matern_1.5 + White],C4,0.949453571837117,0.17788456412713774,0.2623355048496433,-0.3909093049387,0.8648406096776678,1.1929475768389155,1000,549
dg_nh3,Gaussian Process,GPR[Matern_2.5 + White],C4,0.9384308721967134,0.20031590178246028,0.28952984467552256,-0.35077866249478684,0.848559836856767,1.175612104221161,1000,549
dg_nh3,Gaussian Process,GPR[RQ + White],C4,0.9321343858611271,0.2128579882803025,0.30397420299522,-0.3623993422546754,0.8534344800052323,1.1806581401734775,1000,549
dg_nh3,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C4,0.9448313660494373,0.18760595667956026,0.27406776101742275,-0.31774184910221814,0.8396121553918299,1.1611467806130251,1000,549
