Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
hirsh_qa_min,Gaussian Process,GPR[RBF + White],C1,0.9835324557435129,0.11875323368543914,0.1592083068818742,-0.16454112697736423,0.9852351269937826,1.1288551111894858,1000,841
hirsh_qa_min,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9960402075890422,0.0551411685896209,0.07807059938586325,-0.44650926823630366,1.0875295188536434,1.25811806604697,1000,841
hirsh_qa_min,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9934755698136428,0.07351479663473731,0.10021266193213046,-0.3039784040950311,1.05619427903791,1.1945270472935123,1000,841
hirsh_qa_min,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9902017316519647,0.09095142101807772,0.12280780494531515,-0.2909948970329561,1.0466112872675737,1.188565311560435,1000,841
hirsh_qa_min,Gaussian Process,GPR[RQ + White],C1,0.9920611128744721,0.0815766664429446,0.11054296720916844,-0.24406105708072667,1.0215438897105775,1.1667602802917507,1000,841
hirsh_qa_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9938224320156355,0.0714072748921994,0.09751245061119249,-0.3050902512387135,1.0566827123615712,1.1950362000876402,1000,841
hirsh_qa_min,Gaussian Process,GPR[RBF + White],C12,0.9595245392748215,0.16125564672548182,0.22773155932053693,0.8887275462690929,0.3637750183658974,0.48809894620722294,1000,679
hirsh_qa_min,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9946473609256411,0.0574815887445631,0.08281543729582175,0.9381571516909641,0.2676442754461496,0.3638804971541474,1000,679
hirsh_qa_min,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9828686443833337,0.1038883044998475,0.14815734423795815,0.9319862767934904,0.29461776746092255,0.3816034675005325,1000,679
hirsh_qa_min,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9726318899647337,0.13158757349148606,0.18726202827884778,0.921032330344684,0.31636686393267,0.41118635895934147,1000,679
hirsh_qa_min,Gaussian Process,GPR[RQ + White],C12,0.9797919769023489,0.11326954637882532,0.16091229692772974,0.9301061354842199,0.2951705165842798,0.3868419505286775,1000,679
hirsh_qa_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9848356155800432,0.09756140841555691,0.1393925978381207,0.9332522982197516,0.29049079510969034,0.3780351615062211,1000,679
hirsh_qa_min,Gaussian Process,GPR[RBF + White],C13,0.9462108339501374,0.19509832609393,0.27403155863311274,0.940050282597187,0.2675399537438641,0.3404285549550432,1000,406
hirsh_qa_min,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9957834521688073,0.054512659649907,0.07672408026139464,0.9665073586653055,0.198846068202847,0.2544527275539837,1000,406
hirsh_qa_min,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9693683798955909,0.14248734183554113,0.20679410722040226,0.9380811075380767,0.2678519592987956,0.3459744288001316,1000,406
hirsh_qa_min,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9579431226886388,0.16878525681771037,0.24231019502968454,0.9384055316329195,0.269186699285412,0.34506687178111783,1000,406
hirsh_qa_min,Gaussian Process,GPR[RQ + White],C13,0.9595435876211528,0.1645774026039175,0.23765494709507456,0.9360898390320107,0.27402039223003727,0.35149355557880774,1000,406
