Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C1,0.9412204036431813,0.21688192357281574,0.30079083817409763,0.7633293090130715,0.46637562409545746,0.5089006759557103,1000,841
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9969060643357555,0.04939023160543644,0.06900919216782875,-0.010265780395064983,0.8627961579507675,1.0514257520897181,1000,841
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9536620072849326,0.18776961475855802,0.26706680610643424,0.7755358868768075,0.4434389975136564,0.4956033653257678,1000,841
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C1,0.946364573653088,0.20457529630601498,0.28732748586440393,0.7719525191042433,0.45388239999554714,0.4995436329735358,1000,841
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C1,0.9415463156954442,0.21600107934563645,0.2999557896982211,0.7647356492019057,0.4650765115172232,0.5073864330502177,1000,841
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9411355117329118,0.21713435649648913,0.30100796705476973,0.7645378646384606,0.46510057155810025,0.5075996657843248,1000,841
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C12,0.9185079913794796,0.23144550149438461,0.3231356175023291,0.8110998823707156,0.4861071507430675,0.6359605140232073,1000,679
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9939832706317755,0.060869933665105805,0.08780263673699497,-0.10357479563071115,1.1079892871569126,1.537145309130009,1000,679
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9279974363819834,0.2139161199015534,0.30373951780434016,0.6767272994160163,0.6510029725940909,0.8319525422050256,1000,679
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9235957064914636,0.22150762147354908,0.31288605065913344,0.7325400942838443,0.586072307236268,0.7567342332774526,1000,679
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C12,0.9216484266802605,0.22557020610456208,0.3168481532578484,0.7668608060002614,0.5440701548121193,0.7065154816894702,1000,679
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9261562877348222,0.21721681794220193,0.3075984056323467,0.7334448147667036,0.5885947231559454,0.755453269487692,1000,679
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C13,0.9475211830971673,0.20282933793014102,0.2706731600065674,0.615130550170959,0.7289122327886149,0.862559635028572,1000,406
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9954316464207988,0.05733453461181925,0.07986068487180241,0.45326931894811584,0.9221176176778288,1.028061591624734,1000,406
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9678817747918967,0.1552123441493738,0.21175269428110036,0.6129667847363793,0.7248256693875766,0.8649809246950274,1000,406
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9574867609693366,0.18073582880610592,0.24362130917217148,0.6151222346359769,0.7263177649068341,0.8625689532611306,1000,406
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C13,0.9489502145618689,0.19972175982647486,0.26696242332530684,0.614962477438255,0.7286318371495175,0.8627479546406837,1000,406
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C13,0.9544720413780591,0.18812270429137926,0.2521112724258184,0.6148041539326939,0.7293618813742223,0.8629253129941379,1000,406
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C14,0.9245791391628371,0.23887112167893593,0.3231316242358017,0.04962165437457211,0.7517945534766398,1.0601771634112322,1000,418
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C14,0.9953062335414301,0.05691744138345127,0.08061102802270771,-6.118911169394892e-05,0.8153738504167096,1.0875355581886004,1000,418
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C14,0.9437651628517171,0.20410992967003858,0.2790207116079013,0.5286434083180257,0.6302855055700466,0.7466292010207611,1000,418
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C14,0.931998398845665,0.225508632939452,0.30682679981323735,0.29059236213836703,0.7101573285325223,0.915963375657523,1000,418
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C14,0.9270322765464158,0.2341650624929548,0.31783309681127786,0.36122531453035434,0.5996401403135947,0.8691685979093081,1000,418
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C14,0.9362959748216347,0.21817378104923757,0.29697313134200465,0.3542831346837674,0.5940772654227123,0.8738788809145978,1000,418
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C17,0.9298322272127038,0.23765291575390826,0.32067127443823257,0.9123278421535398,0.22939703902541972,0.2998721080600953,1000,807
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C17,0.9975222171192046,0.043880495539559375,0.060259127056051846,0.9541306721535994,0.1626401519827505,0.2169034265482291,1000,807
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C17,0.9507168552112286,0.19619622933831038,0.26874501567190084,0.8903038976991428,0.25146710938039224,0.33542916653733484,1000,807
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C17,0.9395851280025476,0.21879839122643982,0.2975521836594942,0.9028300990768111,0.2395120465116237,0.31569747237549717,1000,807
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C17,0.9312211745033242,0.2348029087805548,0.31748162139812813,0.9117488824403038,0.23026588394905012,0.30086060995978386,1000,807
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C17,0.9363853025520756,0.22557588503080697,0.30533032849470304,0.9105697402442744,0.2314870760664668,0.3028638723742603,1000,807
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C18,0.9158245594509058,0.2413109086394208,0.3290899512422547,0.9377507168560347,0.3037721121035278,0.3826184268637801,1000,604
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C18,0.9963445160440135,0.04800898967622035,0.06857950772624,-0.015655340206073953,1.140484601380116,1.5455102250361492,1000,604
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C18,0.9378083175881156,0.20375673140515568,0.28287077157469276,0.9322139505218782,0.3077379748488714,0.39927201051668215,1000,604
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C18,0.9266386814678399,0.22283050631583973,0.3072242456078506,0.9351536377764647,0.30560850044137966,0.39051841094559087,1000,604
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C18,0.9168112588576347,0.23951159862286897,0.3271554793705675,0.937777627953934,0.3033805222887973,0.3825357126981855,1000,604
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C18,0.9196603802529484,0.23496312112844578,0.321504316586199,0.9375972830345036,0.3043514452677348,0.3830896810978864,1000,604
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C19,0.918651675568747,0.24110519365118782,0.32839425536625455,0.9410309783791929,0.25289230500409315,0.3234459615891013,1000,683
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C19,0.9953885233784344,0.055128847896465605,0.07818820644582225,0.7589814489418141,0.4959811290092183,0.6539055261229209,1000,683
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C19,0.9367676196934903,0.20831697663236887,0.28952829354974735,0.9213341024648524,0.2803086234478385,0.3735794883796189,1000,683
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C19,0.9266139603331693,0.22665783857860713,0.31190904645876105,0.9337018644477977,0.26375933052841544,0.34295759861362135,1000,683
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C19,0.9193852765785628,0.23984061967065626,0.3269101685354699,0.9412701294227221,0.2529884618360897,0.32278942174017733,1000,683
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C19,0.9191329896474336,0.2404899113461022,0.3274213080217689,0.9413166815431389,0.252535437871402,0.322661467168244,1000,683
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C2,0.9425676230649025,0.21343635442177902,0.29477747970393137,0.885336565360529,0.2938954312694793,0.34950582916187567,1000,742
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C2,0.9958862803257782,0.05596101028656283,0.07889205211562421,0.5768043018826076,0.5545025313614568,0.6714482903238619,1000,742
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C2,0.9619160658629774,0.16993013683323308,0.24004176353206766,0.8634750956518268,0.3143549217926868,0.3813711976227435,1000,742
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C2,0.9518520461735509,0.19329036012997858,0.2699012051478471,0.8778302655663235,0.30110142189985856,0.3607644747629575,1000,742
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C2,0.9440379229141302,0.2101380096211355,0.2909797850672808,0.8843425068371643,0.2948681665250688,0.35101755562769715,1000,742
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C2,0.9485552622086009,0.20100683507766823,0.27898855344113294,0.8838900282296528,0.29494149469767894,0.3517035159176647,1000,742
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C3,0.938791618790392,0.23333751363723348,0.3118220509443115,0.6929150745424426,0.33076020060738415,0.49556304069243895,1000,1160
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C3,0.9967996679679841,0.05116120436275324,0.071301537697263,0.9361205009674447,0.17073930821650093,0.22602184250498775,1000,1160
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C3,0.9565750251426418,0.1920444950345488,0.26264622593671466,0.7905335720250357,0.3111386698545182,0.40928598497053237,1000,1160
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C3,0.9467707382351591,0.21474799971986863,0.29078807891293484,0.7443250611698005,0.32425378057478843,0.4521824894523394,1000,1160
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C3,0.939369097123173,0.23188757132672627,0.31034760239248754,0.6867425581145663,0.333977683762984,0.5005187585192502,1000,1160
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C3,0.9394635817308724,0.23192917120808318,0.31010569189028536,0.7296743321080491,0.31916670889736176,0.46495754815099116,1000,1160
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF + White],C4,0.9501062204497221,0.17799583521382664,0.260636382122195,0.433276410187735,0.6837439835410568,0.7614784169135874,1000,549
hirsh_qcm5a_boltz,Gaussian Process,GPR[RBF(ARD) + White],C4,0.995899708801975,0.05157836529479045,0.07471695890562621,0.37505712612651143,0.7033594218549426,0.7996355860759193,1000,549
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_1.5 + White],C4,0.9678317902529991,0.13814593208668496,0.20927882225327532,0.46501799925383036,0.6674901906927827,0.7398463548337992,1000,549
hirsh_qcm5a_boltz,Gaussian Process,GPR[Matern_2.5 + White],C4,0.9592316428652516,0.15798446271199132,0.2355989996298501,0.45827207363578815,0.670879823737348,0.7444963368788029,1000,549
hirsh_qcm5a_boltz,Gaussian Process,GPR[RQ + White],C4,0.9508827453147597,0.1764157920540687,0.25860021347291395,0.43568366149800275,0.682603625076543,0.7598594436952145,1000,549
hirsh_qcm5a_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C4,0.9535834908321618,0.17060651103483288,0.2513900442561359,0.4378549327600233,0.6806890512102117,0.7583962120572453,1000,549
