Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
hirsh_qcm5h_min,Gaussian Process,GPR[RBF + White],C1,0.9805810704837855,0.1303471650341269,0.1728876403475117,0.9297257168844542,0.2354189543565543,0.2773058301132618,1000,841
hirsh_qcm5h_min,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9967612343590754,0.05068421448900637,0.070605911799762,0.9413643852968315,0.20762470191953583,0.25330369766593613,1000,841
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9865008054298592,0.10759288448161376,0.14414687535926937,0.9331633632693119,0.2281922101668632,0.27043822837167275,1000,841
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9829840583152812,0.121539549727517,0.16183755121460697,0.9336642093649014,0.22800775223178799,0.2694230468760367,1000,841
hirsh_qcm5h_min,Gaussian Process,GPR[RQ + White],C1,0.9817912717542973,0.12572125174363477,0.16741374492697478,0.9332542389422037,0.2288825879202739,0.27025431265750627,1000,841
hirsh_qcm5h_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.986253517193922,0.10865612118993302,0.1454611781502834,0.9332774728697582,0.22830481210496303,0.270207271350712,1000,841
hirsh_qcm5h_min,Gaussian Process,GPR[RBF + White],C12,0.9788695863704769,0.12543432895876433,0.16454372265888853,0.9200783292584784,0.3349760436749577,0.41366265455303897,1000,679
hirsh_qcm5h_min,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9950055911717308,0.05520413191471457,0.07999620122651632,-0.07416963104814034,1.0931437773452384,1.5165281369932657,1000,679
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9871253085811179,0.09746719979983448,0.1284386504695699,0.9164450700980279,0.33537129826136913,0.4229607593680854,1000,679
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9824813904324372,0.11382152045698178,0.14982253333497061,0.9210717044528663,0.32956283646635337,0.41108383526266495,1000,679
hirsh_qcm5h_min,Gaussian Process,GPR[RQ + White],C12,0.980986428749877,0.11871290554506135,0.1560842808058228,0.9208778646350735,0.3296133608828958,0.4115883156328814,1000,679
hirsh_qcm5h_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9867170472024103,0.09901765122322598,0.13045917687637743,0.9177877909515983,0.33361505259307606,0.4195485229439673,1000,679
hirsh_qcm5h_min,Gaussian Process,GPR[RBF + White],C13,0.9788281578562306,0.1313032610648562,0.17192241339118688,0.9686992819376085,0.18964955095906255,0.2459855305128631,1000,406
hirsh_qcm5h_min,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9949067728687804,0.06252867905993532,0.0843237083154679,0.7654783480743239,0.5041920482655393,0.6733236724833138,1000,406
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9851445893480613,0.10858481050406833,0.1440109469755453,0.9664634483818855,0.19267185130307618,0.2546194721169293,1000,406
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9813262368695467,0.1224570600418351,0.16146154289789666,0.967663526112428,0.19083629743880826,0.25002229745205096,1000,406
hirsh_qcm5h_min,Gaussian Process,GPR[RQ + White],C13,0.9798672810072404,0.12741162428788855,0.16765032176460068,0.9679254833115323,0.19089349579962267,0.24900752501995688,1000,406
hirsh_qcm5h_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C13,0.9847894787921592,0.10998004904256539,0.14572203360926766,0.9665157954080716,0.1923646799878776,0.2544206774180303,1000,406
hirsh_qcm5h_min,Gaussian Process,GPR[RBF + White],C14,0.975289268893293,0.1435672291745065,0.1849594471165119,-1.8941952899379642,1.6830532017319446,1.8500952799956427,1000,418
hirsh_qcm5h_min,Gaussian Process,GPR[RBF(ARD) + White],C14,0.9944633475936652,0.06432049569501948,0.0875502419611745,-6.11887021957358e-05,0.8153738502095154,1.087535557965942,1000,418
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_1.5 + White],C14,0.9828296409429612,0.11780015287448177,0.1541783556801262,0.6751392885396343,0.5826100678776398,0.6198388232064871,1000,418
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_2.5 + White],C14,0.9787717752085173,0.13203742376723393,0.17143147428363176,-0.7448389565768188,1.3320282414493334,1.436507353497455,1000,418
hirsh_qcm5h_min,Gaussian Process,GPR[RQ + White],C14,0.9770262350816652,0.1378858424680861,0.1783404291980202,-0.6579369914645212,1.2957056186292122,1.400277755374072,1000,418
hirsh_qcm5h_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C14,0.9810286832457351,0.1244352650664552,0.1620624718737846,-4.407659632707441,2.3160523959384087,2.528918615140445,1000,418
hirsh_qcm5h_min,Gaussian Process,GPR[RBF + White],C17,0.9825011338046868,0.11811255322258354,0.16013865152050474,0.9342425074680837,0.2147189112392763,0.2597035265028491,1000,807
hirsh_qcm5h_min,Gaussian Process,GPR[RBF(ARD) + White],C17,0.9972756067722363,0.04637785540471566,0.06318676308064926,0.5228816840099817,0.5899316934565231,0.699549208001827,1000,807
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_1.5 + White],C17,0.9902926982394374,0.08739811182867063,0.11927254250195526,0.9351010969281002,0.21225133512313935,0.25800249331310554,1000,807
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_2.5 + White],C17,0.9858282033455666,0.10589212213679927,0.144113168924821,0.9325136703918168,0.21733971814702108,0.2630953238288241,1000,807
hirsh_qcm5h_min,Gaussian Process,GPR[RQ + White],C17,0.9840236061683176,0.11266654608064096,0.1530137965135241,0.9326922867312173,0.21765189667462193,0.262746925424527,1000,807
hirsh_qcm5h_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C17,0.9899618869135831,0.08887660892769003,0.12128783780235719,0.9346919657131,0.21261153471777297,0.25881445645729295,1000,807
hirsh_qcm5h_min,Gaussian Process,GPR[RBF + White],C18,0.9799404349566975,0.12286111300771764,0.16065072071617756,0.9535158151807712,0.2622310708036775,0.33063689522669165,1000,604
hirsh_qcm5h_min,Gaussian Process,GPR[RBF(ARD) + White],C18,0.9934765839147155,0.06684990510168534,0.09161349728902252,0.8799504836379581,0.3717606909273925,0.5313478307652804,1000,604
hirsh_qcm5h_min,Gaussian Process,GPR[Matern_1.5 + White],C18,0.9865893174083559,0.0990492589813911,0.13135522845905306,0.9569027737593729,0.25588165280330966,0.31836356874057625,1000,604
