Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
homo_min,Gaussian Process,GPR[RBF + White],C1,0.9851637677321171,0.11274353617918606,0.15111692788926573,0.926837728563029,0.23237529410359847,0.28294653412716414,1000,841
homo_min,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9963337841960478,0.053359272110111516,0.07512081945428503,0.9552795721158464,0.18661683804235515,0.2212145881684079,1000,841
homo_min,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9915536071378876,0.08432979444161479,0.11402155066407406,0.9264969745417189,0.2335746070064495,0.2836046818612823,1000,841
homo_min,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9884760713350849,0.09881635794656025,0.13318385605514152,0.9295443925772788,0.22868854141843825,0.2776633570208011,1000,841
homo_min,Gaussian Process,GPR[RQ + White],C1,0.9871407703949844,0.1044195036871617,0.14068855841434946,0.9310847828591305,0.22604020527057525,0.27461126757110443,1000,841
homo_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9915555763961348,0.08434865710202245,0.11400825795014186,0.9261603745108029,0.23422638599114987,0.2842533102993848,1000,841
homo_min,Gaussian Process,GPR[RBF + White],C12,0.9818926995639725,0.1151499034044956,0.15231903271256378,0.9661757131084454,0.22169084300709005,0.26910908657763105,1000,679
homo_min,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9944164384613846,0.05945278745238453,0.08458297822525465,0.5775282649144401,0.7591741612054591,0.9510708407910903,1000,679
homo_min,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9910127137923286,0.08015662276039742,0.10731034857042572,0.9662819029845862,0.21961279536837788,0.2686863263767213,1000,679
homo_min,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9867699365780217,0.09765461905034661,0.13019919001042657,0.9666742505982501,0.21995478190441584,0.26711851990404717,1000,679
homo_min,Gaussian Process,GPR[RQ + White],C12,0.9855874653016222,0.10193241616785759,0.1358931301674553,0.9656538942126198,0.2242088985637989,0.2711769608229626,1000,679
homo_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9911233765894413,0.07968802072916999,0.10664763205804706,0.966327273205903,0.2192816375274661,0.2685054967526793,1000,679
homo_min,Gaussian Process,GPR[RBF + White],C13,0.9820798713348069,0.11994922315246956,0.15816986252610915,0.9509615825237027,0.24516978344778995,0.3078935808001944,1000,406
homo_min,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9959982459089386,0.054618691604934884,0.07474435080906502,0.925604936148778,0.2713735514055832,0.37923155919329005,1000,406
homo_min,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9891685903750691,0.09256398434226151,0.12296900687331735,0.9525044793845052,0.23705591448962685,0.3030112391553519,1000,406
homo_min,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9858451977469336,0.10637627025942331,0.1405740245635882,0.9530418353107635,0.23651001540570832,0.3012922554514093,1000,406
homo_min,Gaussian Process,GPR[RQ + White],C13,0.9846387486356596,0.11113300010826899,0.14644227709203705,0.9519361559714071,0.23990174812492207,0.3048187389421705,1000,406
