Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
lgK_hydration,Gaussian Process,GPR[RBF + White],C1,0.9674207988985245,0.15423865413627152,0.22393476400276233,0.8834666834612959,0.3020085454339472,0.35709670400458016,1000,841
lgK_hydration,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9964959544871699,0.052306559640229636,0.07344059273895318,0.41931801968719473,0.5705547634421293,0.7971314846311328,1000,841
lgK_hydration,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9956630376410286,0.05883306282936851,0.08170415270872076,0.8768989454299629,0.30098759011132553,0.36702164302292306,1000,841
lgK_hydration,Gaussian Process,GPR[Matern_2.5 + White],C1,0.989975815727071,0.08942573805646079,0.12421550947924127,0.8782575317244888,0.2993131646714799,0.3649907344105094,1000,841
lgK_hydration,Gaussian Process,GPR[RQ + White],C1,0.9962549603604888,0.05451339479458785,0.0759240757165129,0.8641697527087955,0.3171805547031744,0.38553075964584965,1000,841
lgK_hydration,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9965424313329136,0.05229583343874704,0.07295191742939784,0.8753352819206391,0.3032990983457313,0.36934529241065756,1000,841
lgK_hydration,Gaussian Process,GPR[RBF + White],C12,0.9824257968486809,0.10813402155814159,0.1500600685695998,0.7180167332986969,0.6109409908073778,0.7770083863526888,1000,679
lgK_hydration,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9946205573895387,0.05747526658955893,0.08302252903159865,0.8599406112527057,0.449197577060205,0.5476084624135378,1000,679
lgK_hydration,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9940696406707835,0.06178504748956662,0.08717015610554259,0.8522362354162204,0.45441801788097635,0.5624682480453199,1000,679
lgK_hydration,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9903974783594873,0.07957231279790265,0.11092258106809566,0.7927767728791942,0.5367295735979927,0.6660905218446161,1000,679
lgK_hydration,Gaussian Process,GPR[RQ + White],C12,0.9917551951710802,0.0738770276545555,0.10278210529074884,0.8389585877296895,0.4685644977063592,0.5871956407174423,1000,679
lgK_hydration,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9942841830018547,0.06057449833347671,0.08557885611182944,0.8590607039996113,0.44317850842584994,0.5493259132981911,1000,679
lgK_hydration,Gaussian Process,GPR[RBF + White],C13,0.9772676317250151,0.12629548552342543,0.17814577095409634,0.8765777122066829,0.3992783505102368,0.48846022749241086,1000,406
lgK_hydration,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9958365907689887,0.054866621146528856,0.07623909384664204,0.7089323544962682,0.6703508388118294,0.7501176383236912,1000,406
lgK_hydration,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9868132146571211,0.09425879032202365,0.135682127195348,0.9104501718973194,0.33357889069124036,0.4160684543004903,1000,406
lgK_hydration,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9826073112349475,0.10924058531500427,0.1558247856439683,0.8958046345858771,0.3637934067321159,0.448803889731961,1000,406
lgK_hydration,Gaussian Process,GPR[RQ + White],C13,0.9842371429826692,0.10419958323026142,0.14834422480968834,0.8904552561248815,0.37158544913260555,0.460180470028137,1000,406
lgK_hydration,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C13,0.9871032169332475,0.09315105139761237,0.13418188010810866,0.9123284053393562,0.32956059929908194,0.41168198624688734,1000,406
lgK_hydration,Gaussian Process,GPR[RBF + White],C14,0.9695814732072664,0.14795374098006625,0.20521202667942348,0.012544274755819429,0.8926044108036815,1.0806597970655374,1000,418
lgK_hydration,Gaussian Process,GPR[RBF(ARD) + White],C14,0.995615081243096,0.05546686210159884,0.0779138198248703,-0.37415342280170716,0.8621413450820671,1.2748168376023967,1000,418
lgK_hydration,Gaussian Process,GPR[Matern_1.5 + White],C14,0.9870744531813552,0.09520299576531065,0.13376983261625727,-0.02798763817425365,1.0279777745614966,1.1026155806826972,1000,418
lgK_hydration,Gaussian Process,GPR[Matern_2.5 + White],C14,0.9811194918821738,0.1162364335796218,0.161674140231783,-0.002802709389981395,1.0027462955953679,1.0890251971618694,1000,418
lgK_hydration,Gaussian Process,GPR[RQ + White],C14,0.9863567088475526,0.09866067574724852,0.13743371770459556,-0.10973649107116557,1.0757385731720999,1.1456187486329263,1000,418
lgK_hydration,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C14,0.9880693814157979,0.09133794515539796,0.12851836799403984,-0.03864769211949226,1.0358733942446323,1.1083178024441334,1000,418
lgK_hydration,Gaussian Process,GPR[RBF + White],C17,0.9757999773760229,0.1334082761256522,0.18832115016626483,0.9616836280934569,0.15585115944860248,0.19824279619705745,1000,807
lgK_hydration,Gaussian Process,GPR[RBF(ARD) + White],C17,0.9969435287459254,0.048707027048468056,0.06692700178172646,0.9857207370341414,0.08824903522160771,0.12102027085316264,1000,807
lgK_hydration,Gaussian Process,GPR[Matern_1.5 + White],C17,0.9932889040270503,0.06992729938250578,0.09917174082011053,0.9672099579715308,0.14207912899195693,0.18339023686628486,1000,807
lgK_hydration,Gaussian Process,GPR[Matern_2.5 + White],C17,0.9861753199166763,0.10128458488092157,0.1423373110036533,0.965094656777074,0.1474564731400549,0.1892130913152114,1000,807
lgK_hydration,Gaussian Process,GPR[RQ + White],C17,0.9939154425300897,0.06670688901209766,0.09442906960781579,0.9654393194493325,0.14516307907446413,0.18827660897091567,1000,807
lgK_hydration,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C17,0.9946924948319746,0.06197214567180386,0.08819346886687539,0.9672765359481009,0.14175521423419446,0.1832039614880405,1000,807
lgK_hydration,Gaussian Process,GPR[RBF + White],C18,0.972235778579321,0.13380875502684797,0.18900124802018337,0.9164903720258452,0.33450460455349895,0.4431665565098506,1000,604
lgK_hydration,Gaussian Process,GPR[RBF(ARD) + White],C18,0.9959985706062604,0.05031003112410469,0.07175125493764709,0.9722353310234054,0.20715498144443217,0.2555318001819466,1000,604
lgK_hydration,Gaussian Process,GPR[Matern_1.5 + White],C18,0.9899251284612595,0.08068294863017543,0.11385226656700902,0.922948303108727,0.3181635068632179,0.42568643224390745,1000,604
lgK_hydration,Gaussian Process,GPR[Matern_2.5 + White],C18,0.9824579283788746,0.10638471730223122,0.15023197000158825,0.9210998363297487,0.32407561205368585,0.43076226966642345,1000,604
lgK_hydration,Gaussian Process,GPR[RQ + White],C18,0.9862094085975688,0.09476413689649311,0.13320280422861638,0.9226005362722783,0.3203099886990467,0.42664600201589725,1000,604
lgK_hydration,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C18,0.9908254672393862,0.07702236180047035,0.10864603967418837,0.9231679058847695,0.31733394747930777,0.42507938120787764,1000,604
lgK_hydration,Gaussian Process,GPR[RBF + White],C19,0.976530056705599,0.13001312464605086,0.17639134245361268,0.835077503053955,0.3924665878072256,0.5409158690350017,1000,683
lgK_hydration,Gaussian Process,GPR[RBF(ARD) + White],C19,0.9953146974584188,0.055371707821631234,0.0788115856086032,0.9543409409334667,0.22499259819923237,0.2846120285059779,1000,683
lgK_hydration,Gaussian Process,GPR[Matern_1.5 + White],C19,0.9927276106138145,0.07142633306710786,0.09818831506802556,0.8415648035041763,0.38422588087176457,0.5301705567756234,1000,683
lgK_hydration,Gaussian Process,GPR[Matern_2.5 + White],C19,0.9868309177079696,0.09677005874392541,0.1321292595204066,0.8389522899561115,0.3896614690175749,0.5345238020994156,1000,683
