Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
lumo_boltz,Gaussian Process,GPR[RBF + White],C1,0.9690969414652134,0.1617502214694697,0.2180981774740454,0.8775376382305432,0.31368134244487283,0.36606828429873667,1000,841
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9852945367617072,0.10345378136420098,0.15044946893712643,0.9303713949896871,0.23475915573224485,0.276028951342038,1000,841
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C1,0.974815630582313,0.1446914590448689,0.19688691076519738,0.8746016787879196,0.31357278876965594,0.37043042468930065,1000,841
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9717548087257607,0.1539695429195677,0.20850840408725352,0.877113330059775,0.31209386384476623,0.3667019134851403,1000,841
lumo_boltz,Gaussian Process,GPR[RQ + White],C1,0.9707809418957772,0.15691528506035535,0.21207252644221694,0.8788835382894051,0.31086129070319096,0.3640511236098307,1000,841
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9732742359294331,0.14925277746863772,0.20282261103190322,0.8758327689705587,0.31342758885854116,0.36860760101671175,1000,841
lumo_boltz,Gaussian Process,GPR[RBF + White],C12,0.9629662939799044,0.16354462013157764,0.2178341205889779,0.9376534246805431,0.3062623775506434,0.3653594450230629,1000,679
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9945185987113233,0.05717877998561431,0.08380561513448864,0.6251663474369984,0.5556046872584952,0.8958459300596793,1000,679
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9684054357040442,0.14746624723374155,0.20120256116683996,0.9486130745971805,0.27302805986024875,0.331696091680874,1000,679
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9663611780708394,0.15391620152425264,0.20760973223842255,0.9439224631377301,0.28907451773258713,0.3465041993487445,1000,679
lumo_boltz,Gaussian Process,GPR[RQ + White],C12,0.9636489712018999,0.16149496845914088,0.21581701065768003,0.9398656176948944,0.2999232287195416,0.3588190273833418,1000,679
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9672280516884605,0.15311737969931682,0.2049172174389629,0.9387885346166567,0.3008075319514492,0.362018217575997,1000,679
lumo_boltz,Gaussian Process,GPR[RBF + White],C13,0.9633722751491207,0.17462470035252378,0.2261299813561519,0.9555566154461577,0.22507469602015479,0.2931136028286942,1000,406
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9963044101329979,0.05168892634501775,0.071828212564108,0.2612677932368461,0.8843474821906946,1.1950220753336838,1000,406
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9690160302174285,0.1563292399094813,0.2079800630839744,0.9602300716396606,0.21013002901011904,0.2772744264034331,1000,406
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9675672372714204,0.16329307752680977,0.21278702751397424,0.9575741901689143,0.21746384467911373,0.2863831631856312,1000,406
lumo_boltz,Gaussian Process,GPR[RQ + White],C13,0.964486463744031,0.17212480923892987,0.22266406584590726,0.9556584385133933,0.2240313207521033,0.29277763786238814,1000,406
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C13,0.9670416447280266,0.16604288496149905,0.21450426950168272,0.9557395181729939,0.2245251925223758,0.2925098397529227,1000,406
lumo_boltz,Gaussian Process,GPR[RBF + White],C14,0.961828232170068,0.17447112428748432,0.2298819423276076,0.9298333909401572,0.22692956500724332,0.2880682693011114,1000,418
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C14,0.995789506902231,0.05314298105293939,0.07634844584930252,0.8939406586893918,0.2844536381480086,0.3541641857197738,1000,418
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C14,0.9670262276997734,0.15841706856950233,0.21365744882377488,0.9406084918942382,0.20863915391226687,0.265028363937622,1000,418
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C14,0.9654774722642568,0.16452799216863578,0.21861754584665627,0.9358623609787418,0.21721453582433736,0.275414412641799,1000,418
lumo_boltz,Gaussian Process,GPR[RQ + White],C14,0.9630446940351528,0.17168391830800306,0.2261893342123309,0.9316229729544261,0.2242713845041994,0.2843709874830672,1000,418
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C14,0.9643376372124832,0.16856391709537843,0.22219730029689766,0.9308227565970386,0.2260782402001916,0.2860301441789929,1000,418
lumo_boltz,Gaussian Process,GPR[RBF + White],C17,0.9646464298405786,0.1739802435363368,0.22761865387221064,0.9648287177134931,0.14540758014969288,0.18993251801854943,1000,807
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C17,0.9971490158384324,0.046901071497750635,0.06463810478502365,0.8582003420241588,0.3530047261109016,0.3813667417978954,1000,807
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C17,0.9725479365246844,0.14994274800269874,0.20057588132473617,0.9642021268591887,0.1466484289355468,0.1916169120429783,1000,807
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C17,0.9691195112155775,0.16110904451039176,0.21273223107538522,0.9661731962268418,0.14454171387330475,0.18626690861265507,1000,807
lumo_boltz,Gaussian Process,GPR[RQ + White],C17,0.966353923399008,0.16943545642293845,0.22205391094134289,0.9666365268734171,0.14349956435671546,0.18498684774775787,1000,807
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C17,0.9706481689339711,0.15757035431382685,0.20740002841013255,0.9649426227563096,0.146618554822042,0.18962471269137088,1000,807
lumo_boltz,Gaussian Process,GPR[RBF + White],C18,0.9598821525990372,0.17124404812999083,0.22719079609169124,0.9609631421787486,0.23681318870065457,0.3029954668140263,1000,604
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C18,0.9845144134154886,0.09629172737588955,0.14115158288067337,0.9444788755751691,0.27080380844042756,0.3613498102460691,1000,604
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C18,0.9669659681183475,0.1506722532633164,0.2061591970722087,0.9605965202546954,0.23354892122637833,0.3044149609341113,1000,604
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C18,0.9638644273570572,0.15991991020355298,0.21562017441522083,0.961781834691221,0.23258626881178154,0.299801376009483,1000,604
lumo_boltz,Gaussian Process,GPR[RQ + White],C18,0.9610680734302758,0.16811839759743588,0.2238076206074109,0.9614699825231899,0.23495743087508242,0.30102204895751156,1000,604
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C18,0.9639638072462847,0.1610132296410197,0.2153234714604282,0.9615006180681502,0.23528209297195268,0.3009023525627827,1000,604
lumo_boltz,Gaussian Process,GPR[RBF + White],C19,0.9578381779746236,0.17661145844759113,0.2364182131938423,0.9682021763537947,0.18984594840711527,0.23751359333677313,1000,683
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C19,0.9955895532543257,0.053625445572871314,0.07646497248960293,0.7097766415297617,0.4985542955915909,0.7175562535284693,1000,683
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C19,0.9639153808560408,0.16018692575770524,0.21871688314691545,0.9695128206841898,0.18627973034592965,0.2325671626875329,1000,683
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C19,0.9613629634001938,0.16738437844664525,0.2263201123348517,0.9692106515401558,0.18617238111381723,0.23371684840065962,1000,683
lumo_boltz,Gaussian Process,GPR[RQ + White],C19,0.9590134246845344,0.17402655575061293,0.2330998860742962,0.9686860136734112,0.1878242761619218,0.23569965712542332,1000,683
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C19,0.9624773145283494,0.16597125486625403,0.22303252534999074,0.9680794265617683,0.1912528535482335,0.23797159106049612,1000,683
lumo_boltz,Gaussian Process,GPR[RBF + White],C2,0.9720912770711665,0.15787640202799166,0.20548772695099388,0.9504812583889649,0.18188248531650528,0.22968188830932015,1000,742
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C2,0.9865042641602345,0.10263625879265545,0.14289406482805156,0.9374365410509808,0.20962640787142206,0.2581679498397033,1000,742
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C2,0.9764851097487174,0.14023679696923438,0.18861984521916703,0.9582648055520246,0.1608448778720146,0.21085949923966046,1000,742
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C2,0.9755707121946116,0.14538483931352447,0.19225219593474902,0.9549349896723537,0.17239188923049703,0.21910974207876913,1000,742
lumo_boltz,Gaussian Process,GPR[RQ + White],C2,0.9733156993312754,0.15361964111464085,0.2009295533306607,0.9521606103615895,0.17893625167132018,0.2257536419149587,1000,742
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C2,0.9770397144097395,0.1419858315962051,0.18638224944225998,0.9525960975850644,0.1776985709923016,0.2247237626694599,1000,742
lumo_boltz,Gaussian Process,GPR[RBF + White],C3,0.975777625957563,0.15157519882703221,0.19615967347773802,0.7110538459213704,0.38591032866126385,0.4807044242868826,1000,1160
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C3,0.9964246630320079,0.05330995170193888,0.07536329296706101,0.23102239099673094,0.7083988152243198,0.7841994028506037,1000,1160
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C3,0.9820909790599283,0.12704290199438478,0.1686697879484709,0.8972131920178955,0.23209703520955102,0.2867070352310731,1000,1160
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C3,0.9797820821910184,0.13718173783377727,0.17921303310865572,0.8198002060932685,0.3275415290161782,0.37961800727000194,1000,1160
lumo_boltz,Gaussian Process,GPR[RQ + White],C3,0.9760994859297816,0.15033149338310056,0.19485205835379693,0.7105656628162249,0.3908594042621239,0.48111033510730045,1000,1160
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C3,0.9787858186241881,0.14145456739711834,0.18357541371413771,0.7765405816411469,0.3571636451317273,0.42273576484883574,1000,1160
lumo_boltz,Gaussian Process,GPR[RBF + White],C4,0.978088947802754,0.1313675346328285,0.17272032773603813,0.5224078427311862,0.6316051921682626,0.6990376161442503,1000,549
lumo_boltz,Gaussian Process,GPR[RBF(ARD) + White],C4,0.9903662305422094,0.08327619168021363,0.11452754761752022,0.565139807723083,0.5723455197489964,0.6670321701002981,1000,549
lumo_boltz,Gaussian Process,GPR[Matern_1.5 + White],C4,0.9822422709425304,0.1174799376458528,0.1554911048076897,0.5067368012209839,0.6456132753705588,0.710413671495597,1000,549
lumo_boltz,Gaussian Process,GPR[Matern_2.5 + White],C4,0.9796660215769053,0.12621138113363378,0.16638838862204078,0.5145706932368823,0.6396162748561341,0.7047497805451252,1000,549
lumo_boltz,Gaussian Process,GPR[RQ + White],C4,0.9789674903165017,0.12852714448499164,0.16922221892889286,0.5144357411280736,0.6385464959317283,0.704847735961657,1000,549
lumo_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C4,0.9813808160381429,0.12049925341892657,0.15921799774302783,0.5104395340639701,0.6435962264309726,0.7077422507051035,1000,549
