Descriptor,Model,Train_Fraction,Train_Percent,Repeat,Fold,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train_full,n_train_used,n_test
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,1,C1,0.9999999999999535,2.4740997346695537e-07,3.505060476521908e-07,0.8867050681978731,0.28321522789284764,0.3521000036078429,6048,61,841
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,2,C12,0.9994495824801968,0.018088110968888464,0.023879852130210048,0.917410156743782,0.3442162125566379,0.42051099769348105,6210,63,679
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,3,C13,0.9979465413008971,0.04190260521528136,0.05398189382846051,0.9260891829565092,0.30283321959079806,0.37799531127818403,6483,65,406
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,4,C14,0.997074084762244,0.05226909391132604,0.07163087966261718,0.80319079287561,0.3964589056151907,0.4824506377424532,6471,65,418
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,5,C17,0.9953328403656957,0.07347610741907479,0.08980249307087106,0.8632526447589345,0.27347253514673425,0.3745110986797207,6082,61,807
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,6,C18,0.9941968795579118,0.056818180489357197,0.07956732586747599,0.9083055253785156,0.3622146725405728,0.4643765575541781,6285,63,604
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,7,C19,0.9818968037667635,0.1052591718535432,0.1575851696603221,0.9056511651347746,0.31099656464969705,0.40912690698883764,6206,63,683
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,8,C2,0.9908464505052333,0.09110889068910574,0.12469615001058615,0.9510110888449503,0.18197764712715195,0.22844983228557428,6147,62,742
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,9,C3,0.9941253406253284,0.0728490408167637,0.09964456431763455,0.9011163592641,0.2099761350127267,0.2812107276488466,5729,58,1160
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,10,C4,0.9956490657169935,0.053509510840398136,0.07320124605284503,0.5577867088950795,0.5891753125047047,0.6726479901554919,6340,64,549
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,1,C1,0.9992142099501237,0.02585608552488234,0.03786292720952518,0.7994498857320027,0.3860979294284801,0.46845971002123726,6048,61,841
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,2,C12,0.9884697846579277,0.0837586379241046,0.10995131709160047,0.8552791590042306,0.43342739341520853,0.5566466199720287,6210,63,679
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,3,C13,0.9990055128742857,0.028084768937913597,0.04083384409619642,0.9272811317964593,0.3008168909527687,0.37493498546917986,6483,65,406
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,4,C14,0.9999734941415,0.0047473260370901335,0.007194008544518698,0.7183862881550145,0.5012861596927956,0.5771079771065974,6471,65,418
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,5,C17,0.9966786388194947,0.06057852034735247,0.07966786779232729,0.8734766263478135,0.26864377302070974,0.3602388989421146,6082,61,807
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,6,C18,0.9998713369983654,0.00957738346359044,0.012071804750859814,0.9058623670920752,0.35852901758837113,0.4705224409926725,6285,63,604
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,7,C19,0.99829052961196,0.037104326159799805,0.0522827725045169,0.9230399778158315,0.301942560725395,0.3695067395695115,6206,63,683
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,8,C2,0.9988184173560672,0.03522861822862148,0.04549343685656944,0.9039308463879129,0.25434922809291743,0.31991450564251633,6147,62,742
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,9,C3,0.9999999999999319,2.2453293154880504e-07,3.5407618438223344e-07,0.8034909914088091,0.3157349068963634,0.3964248699861398,5729,58,1160
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,10,C4,0.9923787982930171,0.06939587353209578,0.09458225637523225,0.6312116134110807,0.5064973539591019,0.6142717902503338,6340,64,549
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,1,C1,0.9977096723551526,0.0434454901896906,0.06000334344386957,0.8840199581497946,0.29051278192204866,0.3562479869177805,6048,61,841
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,2,C12,0.9918265220489351,0.0884070719321071,0.11344577195594771,0.9509001333392821,0.2643873278539235,0.3242307447600349,6210,63,679
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,3,C13,0.9986647353433269,0.027934216445412857,0.03734813909383464,0.832950340751923,0.4338509450727537,0.5682706264969395,6483,65,406
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,4,C14,0.9989632054764138,0.029924469290480447,0.039641613936422,0.822046511660491,0.3531187400467308,0.45875776875630025,6471,65,418
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,5,C17,0.9993255107166068,0.02099920187998855,0.027752285783733906,0.9322191243332941,0.2053977099895912,0.2636688423417648,6082,61,807
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,6,C18,0.9893704133585927,0.09052202467536033,0.11149182495211135,0.9083318398933683,0.3796074392156562,0.46430991929319715,6285,63,604
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,7,C19,0.9999999999998266,3.852254492750022e-07,5.226967858251065e-07,0.9327028722716961,0.27169480876307345,0.3455318109460195,6206,63,683
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,8,C2,0.9999995807617084,0.0005042066827305279,0.0008330065452412517,0.9064452103463977,0.24226194243484406,0.3157002773960751,6147,62,742
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,9,C3,0.9967861234235919,0.05165301147930426,0.06404025637485546,0.8473034164109245,0.2630164960617512,0.34944941702855936,5729,58,1160
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,10,C4,0.997721749651011,0.03640622694772561,0.05007628690583348,0.6784256962553635,0.49125035247170723,0.5736045955467622,6340,64,549
dg_ch3,GPR[Matern_1.5 + White],0.01,1,4,1,C1,0.9843797192252942,0.09168317714622949,0.12458088363875733,0.7196933103903935,0.4389879143464388,0.5538313295282645,6048,61,841
dg_ch3,GPR[Matern_1.5 + White],0.01,1,4,2,C12,0.9998566296276644,0.008891812052273008,0.012628567830630766,0.9066364046178746,0.36446111350440524,0.4470980970522054,6210,63,679
dg_ch3,GPR[Matern_1.5 + White],0.01,1,4,3,C13,0.9845352104701607,0.12508379352661755,0.1598130358612618,0.876242589963859,0.40659239630223915,0.48912292352194076,6483,65,406
dg_ch3,GPR[Matern_1.5 + White],0.01,1,4,4,C14,0.9974586898162662,0.036037980158317405,0.0474814273497519,0.8250345178671786,0.36549454315611535,0.454889977154408,6471,65,418
dg_ch3,GPR[Matern_1.5 + White],0.01,1,4,5,C17,0.999999999999931,2.303758536412136e-07,2.9360698359332853e-07,0.7903625866972737,0.33892360255448684,0.4637026960328373,6082,61,807
dg_ch3,GPR[Matern_1.5 + White],0.01,1,4,6,C18,0.9955616737321791,0.06746801121185901,0.08434639770625317,0.9321378004698853,0.3058191332424673,0.39949621631086035,6285,63,604
dg_ch3,GPR[Matern_1.5 + White],0.01,1,4,7,C19,0.9979128218194132,0.046451052231545255,0.05659801376448216,0.9264019470441545,0.2962426801701817,0.36134573623160193,6206,63,683
