Descriptor,Model,Train_Fraction,Train_Percent,Repeat,Q2(LOGO),MAE(cv),RMSE(cv),n_samples,n_groups
dg_ch3,GPR[Matern_1.5 + White],0.01,1,1,0.8858105588289289,0.3069407103740328,0.4025339516631299,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,2,0.8579769106054529,0.3517630016332556,0.44892006871298745,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,3,0.8914321487817718,0.30232946757245127,0.392500454633054,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,4,0.8563542048117201,0.35312401432631685,0.4514773859979644,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,5,0.8647169226189414,0.33874306512064983,0.43813836162657777,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,6,0.8667659905840095,0.339958583786215,0.4348075650720162,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,7,0.8612336760324537,0.3435723508833257,0.4437430711224502,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,8,0.8430713210546457,0.3446074496942979,0.4718899220000679,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,9,0.8221355275735787,0.3555255285549838,0.5023820887004244,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,0.8418393157414243,0.36965223739168496,0.47373864176619646,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,0.9114337821643423,0.27022372888631874,0.35450600192897885,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,0.8742382403317064,0.3125083425123729,0.4224388441568413,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,0.9101024683609122,0.27383949192613893,0.35716050354799844,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,0.9070527927672805,0.27587848717674146,0.36316811807281685,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,0.9087522217258148,0.2698595347066389,0.3598327537468727,6889,10
