carbonyl_nr,k2w,k3h,k3oh,lg_k3h,lg_k3oh
C1,1.31e-05,0.935,0.998,-0.0291883891274822,-0.0008694587126288914
C2,1.09e-05,0.779,0.508,-0.10846254232743553,-0.29413628771608075
C3,1.21e-05,0.837,0.802,-0.07727454200674003,-0.09582563171583647
C4,6.7e-06,0.0393,0.349,-1.4056074496245732,-0.45717457304082015
C17,1.08e-05,0.608,0.387,-0.21609642072726507,-0.4122890349810886
C12,9.28e-06,0.0106,12.8,-1.9746941347352298,1.1072099696478683
C13,6.04e-07,0.0683,13.8,-1.1655792963184675,1.1398790864012365
C14,1.53e-05,0.0357,46.0,-1.4473317838878068,1.662757831681574
C18,6.86e-06,0.0904,23.9,-1.0438315695246367,1.3783979009481377
C19,8.59e-06,0.0179,13.4,-1.747146969020107,1.1271047983648077
