carbonyl_nr,per_compound,similar_species,dg_ch3_k6,kinetic_k6,dg_ch3_k5,kinetic_k5,dg_ch3_k4,kinetic_k4,aliphatic_aromatic
C1,C1,C1|C2|C17,dgch36_2,kin6_5,dgch35_0,kin5_0,dgch34_2,kin4_2,aliphatic
C2,C2,C1|C2|C17,dgch36_4,kin6_2,dgch35_0,kin5_0,dgch34_2,kin4_2,aliphatic
C3,C3,C3,dgch36_4,kin6_5,dgch35_0,kin5_0,dgch34_2,kin4_2,aliphatic
C4,C4,C4,dgch36_0,kin6_0,dgch35_3,kin5_2,dgch34_0,kin4_0,aliphatic
C12,C12,C12,dgch36_5,kin6_3,dgch35_1,kin5_1,dgch34_1,kin4_1,aromatic
C13,C13,C13|C18,dgch36_5,kin6_1,dgch35_1,kin5_3,dgch34_1,kin4_3,aromatic
C14,C14,C14|C19,dgch36_3,kin6_4,dgch35_2,kin5_4,dgch34_3,kin4_3,aromatic
C17,C17,C1|C2|C17,dgch36_4,kin6_2,dgch35_0,kin5_0,dgch34_2,kin4_2,aliphatic
C18,C18,C13|C18,dgch36_1,kin6_1,dgch35_4,kin5_3,dgch34_1,kin4_3,aromatic
C19,C19,C14|C19,dgch36_1,kin6_3,dgch35_4,kin5_1,dgch34_1,kin4_1,aromatic
